dz_2021_code,white,asian,black,mixed,other
N20000555,507,2,0,4,0
N20000556,316,4,0,0,1
N20000557,424,13,0,3,0
N20000558,708,4,0,3,0
N20000559,451,11,0,0,0
N20000560,321,1,0,0,0
N20000561,771,1,1,2,1
N20000562,435,0,0,0,0
N20000563,687,5,1,7,1
N20000564,552,1,1,5,1
N20000565,558,0,4,10,0
N20000566,490,0,1,4,3
N20000567,681,1,0,2,0
N20000568,531,1,0,3,0
N20000569,678,2,0,3,1
N20000570,423,6,0,5,0
N20000571,610,4,4,1,0
N20000572,726,7,0,0,0
N20000573,712,5,0,6,3
N20000574,713,8,0,6,0
N20000575,587,0,1,4,2
N20000576,597,0,0,0,0
N20000577,483,1,0,3,1
N20000578,599,2,0,2,0
N20000579,604,1,0,3,0
N20000580,782,2,2,8,1
N20000581,415,0,0,6,0
N20000582,637,2,0,11,0
N20000583,517,0,0,0,0
N20000584,664,0,4,9,8
N20000585,469,1,0,5,4
N20000586,546,0,0,0,0
N20000587,734,8,0,0,4
N20000588,553,2,0,1,0
N20000589,453,2,0,0,2
N20000590,450,0,1,2,1
N20000591,448,0,2,1,0
N20000592,653,1,0,0,0
N20000593,606,0,0,2,0
N20000594,408,1,0,0,0
N20000595,602,3,1,6,3
N20000596,453,0,1,0,0
N20000597,327,2,0,2,5
N20000598,478,1,6,1,10
N20000599,482,1,0,7,1
N20000600,541,1,0,0,0
N20000601,431,2,5,6,0
N20000602,465,3,0,5,0
N20000603,594,11,0,0,0
N20000604,297,3,0,2,0
N20000605,391,0,0,0,0
N20000606,399,0,1,0,0
N20000607,298,0,3,3,1
N20000608,432,5,0,12,0
N20000609,616,15,0,1,0
N20000610,524,6,6,6,0
N20000611,402,4,2,2,1
N20000612,433,18,0,1,3
N20000613,322,1,2,1,2
N20000614,782,0,0,1,0
N20000615,372,10,5,6,19
N20000616,327,9,5,0,2
N20000617,326,2,1,1,0
N20000618,397,13,2,1,7
N20000619,378,0,2,0,10
N20000620,587,9,7,3,6
N20000621,797,0,0,8,0
N20000622,459,1,0,0,0
N20000623,510,5,1,8,6
N20000624,277,16,0,5,0
N20000625,479,17,3,8,21
N20000626,459,3,1,1,0
N20000627,519,3,0,2,0
N20000628,451,10,0,2,2
N20000629,474,0,0,0,0
N20000630,384,13,0,5,0
N20000631,366,8,0,3,0
N20000632,423,1,2,4,0
N20000633,396,1,6,3,0
N20000634,386,4,2,3,0
N20000635,634,6,2,5,0
N20000636,557,3,1,5,3
N20000637,561,9,0,4,0
N20000638,475,6,0,0,0
N20000639,526,0,0,4,0
N20000640,717,1,0,3,0
N20000641,706,15,0,6,1
N20000642,412,1,0,7,0
N20000643,521,1,0,3,1
N20000644,385,0,1,3,0
N20000645,652,1,0,4,0
N20000646,549,4,0,4,0
N20000647,522,0,0,1,0
N20000648,601,1,1,2,0
N20000649,766,6,2,3,0
N20000650,383,1,3,2,1
N20000651,756,2,0,4,0
N20000652,574,0,1,4,1
N20000653,687,0,1,0,0
N20000654,469,1,6,5,1
N20000655,433,0,0,2,1
N20000656,302,0,0,0,0
N20000657,663,0,0,3,0
N20000658,504,1,0,0,0
N20000659,413,4,0,0,1
N20000660,557,8,11,1,0
N20000661,551,9,1,3,0
N20000662,459,1,0,0,2
N20000663,458,0,7,4,0
N20000664,605,4,0,1,1
N20000665,484,2,0,3,0
N20000666,424,5,0,3,0
N20000667,346,2,0,0,0
N20000668,215,0,3,4,0
N20000669,463,1,1,3,0
N20000670,474,0,4,7,0
N20000671,661,6,0,6,0
N20000672,325,2,1,0,0
N20000673,590,2,0,0,1
N20000674,537,1,0,5,3
N20000675,570,2,4,2,0
N20000676,668,0,0,7,0
N20000677,343,0,0,4,1
N20000678,601,4,1,1,0
N20000679,765,2,0,4,0
N20000680,448,2,0,4,0
N20000681,655,0,0,6,0
N20000682,478,2,5,10,0
N20000683,419,0,0,3,0
N20000684,369,6,2,0,3
N20000685,773,1,0,0,1
N20000686,415,1,0,1,0
N20000687,496,7,0,2,1
N20000688,656,0,3,4,5
N20000689,691,1,0,12,0
N20000690,593,6,0,1,1
N20000691,533,1,0,0,0
N20000692,835,5,0,5,0
N20000693,473,0,1,2,0
N20000694,708,1,1,4,1
N20000695,694,6,0,4,0
N20000696,414,2,0,7,0
N20000697,620,5,1,6,3
N20000698,247,0,0,1,0
N20000699,559,0,2,0,1
N20000700,586,2,2,8,2
N20000701,747,0,0,1,0
N20000702,500,0,0,0,1
N20000703,613,0,0,0,1
N20000704,394,1,0,4,0
N20000705,439,6,0,5,6
N20000706,764,1,0,1,1
N20000707,535,0,0,1,1
N20000708,564,0,0,0,1
N20000709,734,1,1,0,0
N20000710,867,6,0,1,0
N20000711,733,24,3,5,0
N20000712,429,30,6,9,1
N20000713,542,24,7,10,0
N20000714,247,0,0,0,1
N20000715,559,7,5,9,1
N20000716,586,26,1,12,1
N20000717,580,3,4,5,0
N20000718,442,1,4,0,2
N20000719,510,4,3,7,2
N20000720,367,15,1,5,1
N20000721,318,36,0,4,2
N20000722,393,11,0,8,1
N20000723,538,18,7,6,1
N20000724,415,14,5,11,1
N20000725,349,12,8,1,2
N20000726,509,14,7,5,1
N20000727,381,6,0,3,0
N20000728,413,12,1,1,0
N20000729,348,8,1,2,0
N20000730,663,19,13,7,0
N20000731,516,183,7,13,9
N20000732,508,7,0,0,1
N20000733,579,4,0,3,5
N20000734,346,10,0,1,1
N20000735,515,3,0,0,0
N20000736,385,8,12,7,15
N20000737,460,18,9,3,1
N20000738,421,19,22,5,1
N20000739,304,0,0,5,0
N20000740,435,0,0,0,2
N20000741,431,6,6,4,1
N20000742,358,10,12,8,1
N20000743,427,12,4,6,0
N20000744,473,7,1,7,6
N20000745,340,22,21,7,11
N20000746,646,8,6,8,5
N20000747,356,3,17,10,2
N20000748,655,5,15,7,5
N20000749,593,10,27,17,1
N20000750,507,5,11,5,2
N20000751,411,4,9,0,3
N20000752,386,0,4,3,0
N20000753,479,8,0,3,0
N20000754,204,4,5,6,1
N20000755,491,2,1,2,6
N20000756,430,6,17,7,2
N20000757,380,15,32,10,5
N20000758,552,5,0,0,5
N20000759,344,15,56,11,3
N20000760,401,1,9,3,0
N20000761,521,0,0,7,1
N20000762,368,2,2,0,5
N20000763,364,3,3,3,0
N20000764,334,13,37,2,9
N20000765,359,2,0,6,3
N20000766,285,0,33,3,4
