dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20001775,14,44,13,13,10,30,15,3,5
N20001776,32,18,32,26,29,10,14,30,18
N20001777,32,27,30,35,24,15,18,32,10
N20001778,15,17,39,35,31,18,11,16,12
N20001779,24,65,15,30,15,50,40,8,16
N20001780,17,52,32,42,32,32,17,7,23
N20001781,68,25,22,20,24,17,10,39,8
N20001782,9,47,4,22,11,78,36,4,14
N20001783,13,17,20,27,38,4,9,14,10
N20001784,27,79,34,22,18,17,16,23,25
N20001785,13,16,19,52,30,19,7,23,11
N20001786,3,31,4,23,10,93,24,2,12
N20001787,21,38,9,11,11,30,31,11,7
N20001788,11,18,57,47,53,10,13,13,19
N20001789,23,140,23,7,6,16,14,13,14
N20001790,22,40,14,26,15,8,7,28,25
N20001791,21,67,28,30,21,32,23,10,18
N20001792,22,11,26,32,47,3,17,29,28
N20001793,52,76,12,5,2,8,6,5,11
N20001794,9,39,16,6,4,20,10,9,27
N20001795,37,55,17,26,11,25,12,22,27
N20001796,31,58,19,28,15,26,15,18,20
N20001797,26,106,14,6,1,3,6,8,30
N20001798,7,69,14,9,3,15,17,8,3
N20001799,23,103,16,27,12,36,27,20,35
N20001800,9,61,10,16,7,11,8,15,24
N20001801,23,100,16,9,8,6,6,9,8
N20001802,37,125,7,5,0,8,2,10,7
N20001803,17,22,37,59,30,14,14,19,15
N20001804,5,9,24,56,32,10,6,3,3
N20001805,17,34,37,62,38,12,13,20,9
N20001806,10,33,32,95,24,28,12,10,12
N20001807,11,12,30,69,29,11,11,16,13
N20001808,47,16,20,1,2,0,4,37,2
N20001809,13,43,9,36,7,72,33,4,10
N20001810,26,11,18,64,32,15,13,14,10
N20001811,6,63,9,25,4,127,21,4,8
N20001812,27,54,26,81,27,16,13,19,8
N20001813,5,52,4,26,3,105,13,5,9
N20001814,12,13,25,62,36,3,6,15,12
N20001815,1,54,5,21,2,128,10,2,5
N20001816,3,38,26,50,27,27,11,12,10
N20001817,4,25,3,18,18,46,19,3,14
N20001818,3,53,0,10,2,92,4,2,2
N20001819,19,38,8,21,27,34,33,20,24
N20001820,6,17,40,52,37,13,12,14,14
N20001821,6,35,9,34,13,44,16,8,13
N20001822,16,48,13,26,18,40,20,10,15
N20001823,3,22,3,19,2,100,5,1,8
N20001824,11,12,49,52,42,2,9,24,8
N20001825,8,29,10,16,12,29,18,3,10
N20001826,16,31,7,28,11,43,10,8,13
N20001827,25,40,14,27,11,52,29,16,11
N20001828,4,42,9,13,7,82,16,3,5
N20001829,6,40,13,52,20,78,21,6,9
N20001830,13,24,8,20,15,62,37,11,15
N20001831,25,58,13,24,17,37,24,14,14
N20001832,20,27,9,22,8,39,25,7,12
N20001833,8,41,20,29,4,47,7,4,9
N20001834,19,24,29,29,44,8,12,26,17
N20001835,11,39,12,19,9,45,19,9,7
N20001836,27,49,11,37,25,50,42,14,17
N20001837,10,82,15,18,18,62,25,14,11
N20001838,32,40,9,25,9,40,26,15,12
N20001839,9,26,20,31,12,11,9,8,13
N20001840,28,22,22,31,14,8,9,33,15
N20001841,24,64,14,17,15,30,19,10,12
N20001842,16,39,9,21,14,26,21,6,22
N20001843,20,45,8,26,22,38,33,24,13
N20001844,44,24,22,48,34,10,23,29,21
N20001845,35,46,19,29,27,47,31,18,17
N20001846,37,42,12,21,17,2,7,9,6
N20001847,39,56,22,29,19,35,35,28,13
N20001848,40,55,22,35,24,37,25,19,12
N20001849,34,10,10,23,14,7,13,33,7
N20001850,24,14,34,64,19,3,8,52,8
N20001851,7,30,38,45,18,21,4,17,9
N20001852,37,30,28,40,16,18,13,33,9
N20001853,39,88,21,27,7,37,28,15,6
N20001854,38,37,26,35,16,8,13,39,6
N20001855,28,32,27,41,18,12,5,17,6
N20001856,33,60,14,19,14,49,31,15,6
N20001857,35,77,11,17,7,30,20,10,4
N20001858,5,22,18,65,6,36,9,7,7
N20001859,17,90,32,47,9,33,18,8,7
N20001860,62,28,16,36,8,7,5,22,3
N20001861,6,40,20,43,7,16,4,4,4
N20001862,19,31,32,34,13,12,13,14,6
N20001863,7,51,25,37,7,44,9,5,7
N20001864,40,53,19,13,12,12,11,16,3
N20001865,8,30,20,19,10,14,4,8,4
N20001866,22,82,19,14,8,18,11,14,14
N20001867,14,47,20,42,14,24,7,20,9
N20001868,18,66,12,29,15,32,13,15,5
N20001869,22,59,18,27,14,40,24,11,10
N20001870,38,79,14,5,1,14,5,8,7
N20001871,36,34,37,48,16,14,14,32,12
N20001872,5,37,45,73,20,11,8,14,12
N20001873,83,33,28,32,15,22,16,59,12
N20001874,19,59,20,29,5,33,16,14,13
N20001875,47,37,36,40,23,29,13,50,8
N20001876,39,43,42,26,12,27,23,16,8
N20001877,41,135,38,10,4,27,17,7,18
N20001878,24,28,24,38,10,13,7,25,10
N20001879,36,24,37,40,27,14,10,32,4
N20001880,26,70,15,11,2,30,9,17,8
N20001881,20,49,12,14,13,21,13,9,5
N20001882,8,36,13,40,6,31,7,3,11
N20001883,25,145,26,24,9,29,15,8,15
N20001884,10,50,37,71,24,35,14,11,17
N20001885,33,61,30,24,24,39,23,17,10
N20001886,117,53,11,9,7,3,7,18,5
N20001887,11,64,9,13,13,39,26,9,13
N20001888,19,34,30,65,22,23,12,29,15
N20001889,6,30,19,89,8,29,6,4,7
N20001890,21,46,13,30,12,35,39,12,11
N20001891,15,49,39,45,17,20,13,22,11
N20001892,15,46,14,22,5,57,30,15,9
N20001893,16,42,16,44,20,32,7,10,8
N20001894,19,46,20,27,18,5,9,26,10
N20001895,23,29,52,66,30,10,13,24,7
N20001896,28,27,47,82,57,15,19,37,21
N20001897,25,19,17,38,17,9,7,23,5
N20001898,7,38,57,49,15,13,5,17,0
N20001899,24,16,34,31,34,6,11,29,4
N20001900,8,30,45,70,17,13,5,7,5
N20001901,1,33,23,95,8,23,5,8,13
N20001902,0,28,22,73,13,29,8,4,8
N20001903,22,48,20,15,14,32,21,10,10
N20001904,12,28,23,81,24,18,6,13,6
N20001905,15,34,22,24,8,36,20,9,10
N20001906,18,47,7,13,17,39,10,11,7
N20001907,2,20,29,67,3,20,2,4,5
N20001908,17,15,16,29,27,3,9,28,3
N20001909,18,54,10,23,16,58,22,12,7
N20001910,17,28,12,27,23,24,21,21,11
N20001911,0,64,21,26,3,37,7,7,6
N20001912,9,34,28,64,11,39,19,6,13
N20001913,10,26,23,75,23,26,5,7,7
N20001914,39,44,24,21,14,21,16,27,7
N20001915,7,15,37,33,14,18,5,8,5
N20001916,34,51,47,59,23,32,14,27,9
N20001917,10,15,32,62,23,8,11,22,4
N20001918,29,27,33,57,23,21,15,25,11
N20001919,11,29,28,82,30,31,12,19,6
N20001920,10,15,27,71,21,7,11,8,4
N20001921,15,47,36,48,20,15,5,25,13
N20001922,26,20,31,45,20,4,10,15,13
N20001923,15,17,23,63,29,9,12,20,13
N20001924,14,44,21,40,20,29,16,15,17
N20001925,21,36,22,44,29,9,11,25,9
N20001926,24,26,27,36,13,4,12,25,13
N20001927,30,49,31,76,34,14,9,33,11
N20001928,9,9,30,51,15,3,3,24,11
N20001929,22,18,26,32,21,6,15,23,5
N20001930,7,19,20,22,13,13,13,14,7
N20001931,22,30,13,19,8,17,9,18,7
N20001932,19,28,41,44,25,7,15,29,3
N20001933,26,44,20,52,24,42,19,15,6
N20001934,3,59,38,70,8,37,5,7,8
N20001935,37,33,33,47,22,9,19,35,14
N20001936,23,35,28,49,29,13,10,36,10
N20001937,16,11,16,46,22,8,10,9,13
N20001938,6,19,22,47,18,14,7,9,9
N20001939,20,36,25,32,10,25,5,5,2
N20001940,18,15,14,18,11,6,10,13,2
N20001941,14,21,33,31,19,5,6,18,2
N20001942,13,30,24,62,20,26,9,9,10
N20001943,27,24,4,12,7,10,17,15,4
N20001944,43,29,31,24,22,26,19,22,5
N20001945,12,21,17,51,16,6,5,9,5
N20001946,19,43,23,102,19,41,20,11,10
N20001947,17,29,17,71,23,17,12,23,4
N20001948,25,25,34,62,39,7,16,24,9
N20001949,23,30,40,81,43,12,22,29,11
N20001950,21,35,32,47,31,10,11,20,9
N20001951,22,37,32,42,22,7,7,36,12
N20001952,36,40,25,42,23,38,13,11,5
N20001953,17,33,15,50,20,10,7,12,2
N20001954,22,25,26,57,36,10,13,18,13
N20001955,19,22,32,69,24,22,14,16,4
N20001956,21,23,25,46,38,9,18,11,7
N20001957,19,18,10,8,13,12,12,9,6
N20001958,18,38,13,11,7,11,11,6,3
N20001959,27,15,17,46,28,9,13,25,9
N20001960,21,17,14,37,17,18,11,17,9
N20001961,18,35,43,46,24,11,15,19,9
N20001962,12,22,29,47,14,27,11,11,8
N20001963,24,21,14,23,17,15,15,12,5
N20001964,2,17,22,54,4,21,9,3,4
N20001965,18,76,14,8,4,8,7,8,13
N20001966,36,21,27,39,32,18,14,32,13
N20001967,4,36,26,61,11,55,6,11,3
N20001968,12,20,16,37,21,12,7,8,10
N20001969,30,102,7,8,8,17,14,13,8
N20001970,17,29,18,43,15,12,7,12,6
N20001971,33,25,31,54,37,11,19,28,7
N20001972,47,71,14,8,12,21,16,12,6
N20001973,18,42,8,13,6,51,27,7,6
N20001974,28,22,12,22,22,21,9,32,10
N20001975,42,56,18,8,11,23,26,13,7
N20001976,41,58,19,18,17,26,26,38,16
N20001977,41,61,16,13,22,38,22,17,13
N20001978,23,41,13,23,14,40,23,12,12
N20001979,24,44,26,15,9,37,21,16,9
N20001980,52,43,20,19,25,16,13,43,6
N20001981,12,25,6,36,20,5,7,17,12
N20001982,32,58,10,11,13,43,23,16,13
N20001983,24,52,14,26,14,53,19,16,6
N20001984,21,42,18,15,14,38,36,8,12
N20001985,20,33,9,31,10,28,17,6,11
N20001986,20,27,41,51,44,19,10,24,17
N20001987,24,32,39,37,35,24,19,42,14
N20001988,27,17,32,72,38,5,13,23,13
N20001989,24,33,25,62,40,14,15,20,10
N20001990,26,29,30,70,31,8,23,22,30
N20001991,17,20,18,41,26,10,14,16,6
N20001992,20,23,12,39,11,14,15,14,6
N20001993,21,30,6,12,11,10,9,7,3
N20001994,14,11,20,41,31,19,17,17,10
N20001995,11,19,19,50,12,19,17,9,6
N20001996,10,19,15,56,8,48,7,3,4
N20001997,9,17,27,69,32,29,9,8,8
N20001998,17,34,17,70,16,43,12,20,17
N20001999,26,23,7,22,7,14,11,10,9
N20002000,45,49,23,38,21,19,22,21,3
N20002001,30,43,19,29,23,32,15,19,9
N20002002,23,81,21,14,16,32,6,15,5
N20002003,18,24,6,13,12,29,14,9,5
N20002004,11,38,32,46,15,37,21,9,5
N20002005,13,25,28,50,31,10,12,15,12
N20002006,15,19,19,48,36,12,14,27,8
N20002007,37,38,25,40,24,28,21,30,3
N20002008,28,19,32,49,42,11,14,19,9
N20002009,23,44,14,24,10,28,15,15,11
N20002010,34,52,22,25,13,27,17,12,7
N20002011,29,62,20,43,21,23,8,24,8
N20002012,35,48,15,15,15,16,20,16,5
N20002013,24,59,30,51,21,48,20,25,10
N20002014,16,35,16,49,21,25,17,14,4
N20002015,27,30,16,53,27,6,10,21,7
N20002016,29,37,8,18,8,19,18,12,9
N20002017,30,24,24,44,29,9,16,26,9
N20002018,8,21,13,42,10,28,3,10,2
N20002019,24,17,13,42,25,3,12,19,10
N20002020,42,62,18,21,12,22,19,13,3
N20002021,42,69,16,12,16,10,11,15,5
N20002022,25,34,37,46,20,12,8,21,3
N20002023,32,15,20,50,29,6,12,16,14
N20002024,27,35,36,59,42,6,22,26,6
N20002025,36,25,31,76,30,8,13,21,9
N20002026,31,18,11,39,24,4,9,21,6
N20002027,24,40,18,25,17,19,15,13,6
N20002028,19,24,29,53,29,10,13,21,2
N20002029,26,21,23,70,23,9,12,22,10
N20002030,26,17,24,58,17,4,10,30,8
N20002031,24,31,32,68,36,12,12,31,8
N20002032,26,17,25,59,28,8,15,26,4
N20002033,21,8,17,33,14,5,6,14,2
N20002034,21,41,19,22,10,17,15,17,1
N20002035,22,45,25,39,21,16,12,8,6
N20002036,18,45,32,50,10,18,11,15,3
N20002037,30,44,30,82,37,15,11,27,6
N20002038,23,25,25,83,39,13,14,32,13
N20002039,38,22,36,59,36,11,13,25,13
N20002040,18,45,36,73,15,28,10,16,11
N20002041,22,26,29,57,33,5,21,14,5
N20002042,25,61,27,33,16,41,13,11,7
N20002043,48,63,13,11,10,7,5,18,5
N20002044,31,24,21,47,19,9,9,23,9
N20002045,30,54,15,12,9,24,11,16,5
N20002046,41,34,47,49,18,14,9,36,11
N20002047,20,30,23,41,15,20,7,13,3
N20002048,20,30,23,51,29,15,20,18,8
N20002049,33,49,27,25,17,15,14,19,8
N20002050,23,20,10,37,18,17,16,18,9
N20002051,35,27,29,59,40,9,14,37,6
N20002052,31,30,21,54,19,15,11,25,6
N20002053,29,24,20,45,21,16,21,27,7
N20002054,38,72,22,38,20,29,28,18,5
N20002055,43,50,31,94,31,7,11,24,6
N20002056,32,24,19,53,17,8,7,21,3
N20002057,39,31,27,52,25,8,14,32,9
N20002058,29,28,26,77,38,8,12,27,7
N20002059,35,28,24,33,18,11,5,21,3
N20002060,52,51,29,44,29,20,13,26,5
N20002061,33,37,55,84,29,6,13,40,10
N20002062,20,31,25,68,14,11,6,20,9
N20002063,34,32,30,45,24,7,10,28,7
N20002064,14,20,26,48,18,6,11,19,4
N20002065,24,31,33,76,32,13,19,29,6
N20002066,72,61,46,86,47,8,18,36,9
N20002067,19,27,26,41,25,9,12,21,3
N20002068,40,30,29,51,31,17,14,25,7
N20002069,18,31,22,99,27,29,12,16,6
N20002070,20,15,17,55,14,6,10,24,3
N20002071,26,33,21,61,26,12,12,19,10
N20002072,30,11,32,51,16,4,8,19,5
N20002073,27,25,39,61,28,12,11,37,8
N20002074,22,13,15,48,27,4,7,23,3
N20002075,33,34,31,48,16,9,11,22,8
N20002076,30,27,19,44,28,7,10,23,9
N20002077,43,58,28,72,27,14,18,15,8
N20002078,24,18,17,45,22,4,9,23,6
N20002079,29,36,32,76,24,11,9,32,9
N20002080,23,15,15,60,22,11,10,18,4
N20002081,34,35,31,39,24,9,7,28,6
N20002082,17,14,23,39,24,3,6,24,5
N20002083,23,24,33,33,27,8,8,21,3
N20002084,42,30,21,42,13,6,8,30,11
N20002085,17,8,22,11,15,2,2,16,4
N20002086,36,78,15,41,25,37,18,29,8
N20002087,13,53,32,69,11,23,7,8,8
N20002088,14,44,28,58,16,16,8,11,10
N20002089,12,44,15,11,9,26,16,9,3
N20002090,6,29,31,66,22,10,6,13,5
N20002091,31,34,23,19,18,16,24,16,7
N20002092,15,55,32,48,16,32,21,12,9
N20002093,17,44,35,58,13,24,18,23,10
N20002094,24,53,49,52,26,18,7,12,9
N20002095,43,48,17,34,23,31,22,20,13
N20002096,32,79,10,7,14,15,19,12,4
N20002097,36,21,24,43,26,9,9,24,4
N20002098,36,98,17,34,7,20,22,21,13
N20002099,28,16,20,27,18,2,13,26,5
N20002100,25,23,23,48,24,7,2,26,6
N20002101,22,35,15,11,3,9,9,6,6
N20002102,33,56,32,29,16,8,8,17,14
N20002103,25,56,25,18,14,28,13,15,4
N20002104,24,46,33,36,14,13,8,7,7
N20002105,49,59,21,11,5,6,6,8,6
N20002106,37,44,21,39,11,24,17,12,10
N20002107,76,121,16,13,4,8,7,10,8
N20002108,50,72,34,43,17,15,18,27,7
N20002109,16,17,24,47,18,10,6,23,3
N20002110,26,23,10,22,4,18,6,16,3
N20002111,47,23,23,45,7,9,7,43,2
N20002112,28,32,25,21,13,6,5,28,5
N20002113,22,31,32,47,18,5,5,41,4
N20002114,35,17,24,29,15,8,7,24,2
N20002115,21,15,17,30,19,6,4,15,9
N20002116,32,50,28,36,15,19,22,13,12
N20002117,28,31,34,38,20,11,12,15,5
N20002118,16,24,29,35,22,6,3,14,1
N20002119,23,47,24,43,14,19,15,17,4
N20002120,22,42,31,51,25,18,12,16,4
N20002121,33,23,31,67,24,11,5,30,9
N20002122,29,38,29,71,26,7,7,27,4
N20002123,29,40,31,45,23,6,14,21,6
N20002124,42,53,29,29,23,24,20,20,6
N20002125,29,31,30,49,13,9,9,22,4
N20002126,43,69,32,22,17,14,7,34,6
N20002127,23,35,29,72,14,21,12,25,1
N20002128,27,30,28,41,18,7,12,10,7
N20002129,19,23,27,67,23,10,9,30,3
N20002130,24,24,29,65,33,7,11,32,10
N20002131,44,57,22,15,23,16,20,22,4
N20002132,19,25,15,48,13,22,10,6,4
N20002133,11,39,32,62,10,27,11,13,5
N20002134,49,57,13,23,13,19,11,27,8
N20002135,26,27,23,34,13,8,4,9,3
N20002136,44,41,4,4,3,4,2,3,4
N20002137,41,47,29,41,21,17,9,18,5
N20002138,27,70,13,20,5,30,16,10,6
N20002139,26,38,40,70,20,6,11,23,7
N20002140,30,40,26,35,19,20,12,14,7
N20002141,28,42,18,27,18,13,9,16,2
N20002142,19,35,39,80,19,11,15,21,7
N20002143,30,32,39,41,29,7,7,22,4
N20002144,18,16,26,80,30,8,8,17,7
N20002145,32,18,31,56,19,7,13,40,9
N20002146,31,56,17,28,11,17,18,25,6
N20002147,23,19,35,64,31,15,11,16,4
N20002148,22,23,40,55,31,8,20,26,10
N20002149,17,70,22,24,8,41,18,8,4
N20002150,24,13,17,30,24,1,6,19,6
N20002151,23,19,31,53,31,6,10,31,2
N20002152,29,39,19,43,29,15,14,17,3
N20002153,19,14,31,43,39,5,5,32,5
N20002154,27,56,17,44,18,19,16,14,5
N20002155,17,20,25,68,32,12,10,18,12
N20002156,23,17,26,65,25,5,7,21,8
N20002157,16,13,18,78,23,9,10,19,2
N20002158,24,27,29,45,18,8,11,19,5
N20002159,11,12,20,32,19,10,11,15,3
N20002160,26,33,33,64,33,11,18,16,10
N20002161,22,18,28,91,20,7,10,22,5
N20002162,18,24,27,60,22,6,12,19,6
N20002163,23,24,9,33,23,7,5,20,0
N20002164,25,37,42,91,38,26,14,25,6
N20002165,28,17,32,61,24,8,10,28,8
N20002166,12,27,8,41,3,14,9,4,2
N20002167,18,37,15,16,8,13,8,11,8
N20002168,27,19,35,69,39,6,18,28,6
N20002169,20,41,16,32,9,9,13,10,3
N20002170,44,56,15,17,11,21,16,7,3
N20002171,18,52,22,49,19,21,13,20,9
N20002172,40,54,16,11,10,16,12,11,1
N20002173,16,23,17,61,28,5,14,19,8
N20002174,26,22,19,69,32,9,16,23,5
N20002175,20,21,24,53,36,6,12,23,4
N20002176,29,32,31,85,28,10,12,25,7
N20002177,23,24,30,62,22,16,16,21,5
N20002178,26,30,21,49,24,14,11,20,5
N20002179,20,12,13,55,13,10,4,12,3
N20002180,28,29,23,60,38,5,7,22,0
N20002181,22,42,28,67,15,19,7,21,5
N20002182,16,46,34,65,24,27,5,11,6
N20002183,34,136,19,29,19,68,35,10,12
N20002184,15,50,12,32,7,35,14,2,10
N20002185,18,42,24,25,9,15,14,8,5
N20002186,27,15,17,28,17,6,8,13,2
N20002187,41,31,31,40,36,11,12,21,4
N20002188,15,27,13,15,12,15,13,5,8
N20002189,13,14,16,31,16,9,14,18,4
N20002190,25,66,31,63,16,29,26,9,5
N20002191,17,67,8,18,13,22,9,6,7
N20002192,71,85,21,30,15,21,18,25,12
N20002193,73,54,28,40,9,11,19,22,7
N20002194,43,55,17,13,20,28,24,15,8
N20002195,27,124,27,10,5,9,9,22,3
N20002196,46,32,40,55,34,17,16,34,8
N20002197,22,55,18,26,5,22,14,7,4
N20002198,49,94,19,10,12,8,6,12,5
N20002199,32,61,14,8,7,14,13,9,5
N20002200,32,60,21,33,17,30,17,21,2
N20002201,24,16,24,22,15,2,6,23,0
N20002202,22,39,24,34,24,19,21,15,7
N20002203,20,38,18,14,12,9,12,19,2
N20002204,39,48,11,21,4,13,14,15,8
N20002205,36,59,11,13,3,15,10,9,4
N20002206,34,45,20,16,8,8,8,10,7
N20002207,11,53,29,31,14,11,10,12,16
N20002208,19,53,21,18,8,17,10,20,7
N20002209,31,15,25,35,12,4,10,23,6
N20002210,53,46,35,33,27,10,22,48,4
N20002211,29,25,27,26,17,3,12,15,2
N20002212,18,50,13,21,8,15,21,7,11
N20002213,14,34,27,81,21,19,12,15,8
N20002214,13,36,32,38,16,9,15,16,5
N20002215,8,36,26,60,20,28,10,7,2
N20002216,27,35,33,62,30,19,14,20,4
N20002217,29,12,33,27,28,6,9,34,4
N20002218,22,35,23,41,21,14,17,18,6
N20002219,14,19,30,91,20,17,13,9,4
N20002220,13,38,27,51,18,7,6,24,4
N20002221,22,23,21,49,25,13,14,20,8
N20002222,32,37,18,31,14,9,7,14,7
N20002223,17,53,19,50,18,17,14,18,7
N20002224,18,25,14,55,35,2,8,13,7
N20002225,21,29,15,48,21,6,11,14,3
N20002226,17,19,25,70,31,10,14,17,8
N20002227,12,11,25,43,16,8,6,24,1
N20002228,17,17,19,50,32,1,13,17,5
N20002229,16,18,13,46,27,14,8,6,1
N20002230,17,11,24,41,22,6,8,11,8
N20002231,32,24,21,75,43,15,15,19,4
N20002232,18,20,14,39,31,4,6,10,7
N20002233,18,31,29,62,20,34,13,10,9
N20002234,15,16,22,50,21,3,12,10,6
N20002235,23,19,20,57,24,19,7,8,4
N20002236,15,57,29,72,18,32,16,10,9
N20002237,24,21,22,83,29,15,17,18,6
N20002238,14,42,33,67,22,37,20,11,3
N20002239,18,15,17,60,34,8,19,18,9
N20002240,25,23,18,62,37,4,9,27,12
N20002241,18,27,9,28,11,8,15,12,5
N20002242,35,29,25,54,33,11,21,28,6
N20002243,19,20,21,51,24,6,2,24,3
N20002244,36,53,29,37,16,10,10,15,4
N20002245,30,35,28,68,36,8,14,26,5
N20002246,17,18,28,59,27,8,7,24,2
N20002247,30,61,20,51,17,30,20,20,7
N20002248,27,27,25,87,38,12,9,18,12
N20002249,28,15,23,60,25,11,7,27,7
N20002250,24,27,19,57,21,7,5,18,4
N20002251,17,27,16,51,25,7,8,15,4
N20002252,28,100,27,33,16,23,17,23,5
N20002253,26,45,23,18,12,10,7,9,6
N20002254,36,31,43,32,12,18,14,28,13
N20002255,16,37,14,22,6,19,8,9,2
N20002256,23,35,39,32,15,12,11,22,7
N20002257,24,50,58,65,23,5,6,30,4
N20002258,31,48,38,48,18,18,12,22,11
N20002259,15,17,29,59,23,7,6,20,3
N20002260,29,31,37,52,18,6,10,31,10
N20002261,9,10,30,64,15,9,6,19,2
N20002262,19,23,41,36,30,7,16,23,6
N20002263,43,61,48,28,5,9,7,22,5
N20002264,31,19,40,35,34,7,5,36,5
N20002265,28,38,25,13,5,10,6,11,5
N20002266,17,15,33,70,18,1,2,34,3
N20002267,43,37,23,13,4,10,7,21,7
N20002268,44,22,69,99,47,13,21,53,13
N20002269,39,81,64,47,14,24,10,19,7
N20002270,15,45,23,19,3,14,4,5,0
N20002271,6,20,38,62,10,10,4,10,2
N20002272,15,51,61,63,7,18,4,14,3
N20002273,19,25,42,48,20,6,6,25,3
N20002274,31,31,42,55,16,7,8,30,1
N20002275,8,27,36,82,22,11,5,19,5
N20002276,15,18,30,41,26,5,13,20,11
N20002277,20,24,39,79,29,8,2,32,6
N20002278,33,20,27,32,15,10,7,24,2
N20002279,28,27,28,10,4,2,4,32,2
N20002280,17,19,37,38,24,4,3,32,1
N20002281,49,40,45,73,17,3,4,49,3
N20002282,44,40,26,36,9,8,15,27,3
N20002283,47,33,17,12,2,2,3,17,1
N20002284,24,20,51,92,34,2,10,46,8
N20002285,26,21,41,50,23,1,7,36,9
N20002286,9,7,24,34,22,1,2,28,6
N20002287,16,14,21,59,24,8,6,9,12
N20002288,15,32,32,107,36,34,12,14,9
N20002289,22,33,40,69,53,10,18,27,29
N20002290,9,20,29,57,14,12,7,15,4
N20002291,12,37,19,28,9,29,10,9,7
N20002292,4,28,25,100,11,27,12,3,5
N20002293,20,11,24,58,14,4,4,17,12
N20002294,26,12,32,45,30,4,8,24,6
N20002295,31,18,31,59,34,8,12,20,11
N20002296,13,48,39,88,23,26,10,10,5
N20002297,24,22,41,33,37,8,9,32,14
N20002298,14,16,33,42,24,0,5,25,10
N20002299,20,10,37,54,28,2,3,20,3
N20002300,13,23,36,79,17,13,7,8,4
N20002301,14,12,22,27,20,1,5,24,3
N20002302,21,13,25,38,26,5,6,28,10
N20002303,16,36,40,67,17,6,8,11,5
N20002304,20,18,32,36,15,8,4,17,4
N20002305,4,33,39,93,7,12,3,3,5
N20002306,4,51,44,90,6,13,5,4,5
N20002307,5,3,27,35,28,0,3,17,1
N20002308,4,52,38,70,3,16,6,5,7
N20002309,7,52,54,81,7,13,2,14,3
N20002310,7,6,44,93,52,9,3,26,3
N20002311,17,8,23,34,24,3,9,25,9
N20002312,15,44,48,73,8,23,8,12,4
N20002313,17,19,45,61,21,11,9,9,7
N20002314,0,21,20,40,9,14,8,1,3
N20002315,21,42,35,45,14,15,7,10,3
N20002316,16,38,19,37,8,10,5,6,2
N20002317,16,25,39,50,35,6,4,22,9
N20002318,12,10,24,24,18,3,4,22,6
N20002319,25,42,44,78,24,22,11,19,8
N20002320,9,27,61,108,27,16,0,8,4
N20002321,3,22,46,84,8,12,2,12,4
N20002322,18,20,47,66,35,11,5,36,6
N20002323,7,22,39,82,22,14,4,8,8
N20002324,19,25,36,51,30,7,11,47,19
N20002325,34,33,46,46,30,8,14,16,8
N20002326,23,14,32,42,36,7,6,30,5
N20002327,22,9,31,22,18,5,5,39,5
N20002328,21,38,25,39,30,8,9,28,5
N20002329,33,73,29,47,20,40,20,11,6
N20002330,53,23,36,39,21,8,4,44,7
N20002331,0,6,0,30,3,68,10,1,3
N20002332,38,60,30,42,14,29,25,26,11
N20002333,15,11,21,27,22,9,7,19,7
N20002334,12,50,29,40,13,87,28,3,7
N20002335,8,22,13,20,7,65,17,11,8
N20002336,9,22,57,75,35,13,4,7,4
N20002337,30,12,21,43,24,9,7,42,2
N20002338,20,13,13,26,5,3,3,29,3
N20002339,26,8,29,32,27,7,8,34,4
N20002340,26,31,11,8,6,12,15,10,1
N20002341,32,27,30,49,25,14,11,15,8
N20002342,2,47,72,64,3,15,1,5,4
N20002343,21,17,18,38,12,7,6,28,5
N20002344,6,31,59,82,21,14,3,4,6
N20002345,28,51,23,24,9,16,13,12,3
N20002346,22,19,20,39,13,10,7,14,3
N20002347,34,43,23,39,18,25,30,19,4
N20002348,25,28,26,37,13,12,19,14,3
N20002349,1,28,51,110,4,16,4,4,4
N20002350,28,20,57,37,18,8,7,34,5
N20002351,4,70,53,80,7,31,5,4,11
N20002352,71,24,33,21,19,5,20,52,10
N20002353,5,35,31,109,33,22,9,6,10
N20002354,24,44,21,21,3,14,10,16,6
N20002355,29,34,24,31,19,27,19,18,8
N20002356,26,62,29,33,13,20,19,11,13
N20002357,22,18,21,39,18,10,9,15,9
N20002358,6,46,24,47,3,17,6,1,4
N20002359,12,39,10,15,6,10,9,6,2
N20002360,25,16,24,58,11,12,5,36,5
N20002361,14,29,15,30,7,31,6,10,7
N20002362,59,62,40,43,14,24,19,18,12
N20002363,31,59,26,26,16,27,21,15,19
N20002364,12,32,21,31,14,31,14,8,6
N20002365,16,26,14,12,8,37,10,9,1
N20002366,25,50,39,31,18,20,14,20,9
N20002367,24,34,16,40,17,21,17,15,6
N20002368,18,75,14,32,9,48,23,10,7
N20002369,13,37,32,34,12,8,5,10,4
N20002370,12,21,10,40,9,50,19,11,6
N20002371,33,58,12,20,5,43,17,8,11
N20002372,44,30,45,42,28,10,10,38,5
N20002373,73,103,31,45,15,40,19,19,6
N20002374,28,62,27,27,7,37,23,12,11
N20002375,11,28,13,28,9,40,7,7,8
