dz_2021_code,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000382,29,60,19,32,9,22,9,17,37
N20000383,26,28,33,64,29,6,10,32,10
N20000384,45,25,29,64,20,10,7,33,9
N20000385,41,50,14,26,8,18,7,8,3
N20000386,26,66,21,19,12,22,17,19,11
N20000387,32,35,25,15,8,13,5,6,2
N20000388,19,34,15,28,11,20,12,13,8
N20000389,17,66,39,70,12,41,15,12,14
N20000390,13,80,15,28,8,26,17,8,12
N20000391,14,28,15,14,6,20,12,12,4
N20000392,49,60,22,34,17,21,17,30,9
N20000393,80,68,21,23,9,6,11,10,15
N20000394,20,44,19,25,8,12,5,14,3
N20000395,29,73,35,19,6,13,12,12,36
N20000396,22,41,20,30,10,24,16,13,9
N20000397,58,25,58,52,24,8,22,63,5
N20000398,36,60,21,30,6,23,8,11,18
N20000399,22,40,26,26,9,26,10,18,14
N20000400,27,52,20,16,7,15,11,13,32
N20000401,23,40,30,56,20,15,13,22,11
N20000402,20,56,42,87,14,26,14,14,17
N20000403,21,51,15,32,6,21,13,14,23
N20000404,44,38,34,39,22,19,17,42,12
N20000405,28,25,15,50,12,15,11,27,13
N20000406,29,36,12,18,7,12,8,16,6
N20000407,29,30,20,35,10,13,9,20,6
N20000408,17,32,23,16,15,9,8,14,4
N20000409,41,26,7,10,8,11,6,18,2
N20000410,14,51,12,26,10,19,9,15,6
N20000411,26,64,27,43,12,18,12,24,13
N20000412,11,33,36,51,10,20,8,16,8
N20000413,11,46,42,78,16,34,10,11,16
N20000414,7,19,27,53,23,9,9,10,4
N20000415,7,23,28,52,15,19,9,4,5
N20000416,20,21,40,47,38,16,10,27,9
N20000417,24,22,36,47,34,12,5,32,10
N20000418,27,21,31,69,39,5,8,35,10
N20000419,43,14,23,34,21,6,14,32,10
N20000420,24,12,28,45,21,2,6,30,9
N20000421,15,27,37,85,23,11,9,18,11
N20000422,18,16,47,78,42,6,18,24,14
N20000423,26,18,29,77,43,7,15,30,14
N20000424,22,22,29,83,45,4,14,29,12
N20000425,8,35,14,32,3,16,1,4,6
N20000426,11,18,23,66,22,16,8,5,8
N20000427,22,18,23,46,31,14,17,25,10
N20000428,19,39,34,70,52,20,17,38,13
N20000429,15,26,18,22,16,23,6,13,9
N20000430,11,12,26,59,15,9,9,18,1
N20000431,18,25,11,37,16,38,22,14,13
N20000432,24,28,15,34,19,40,22,18,14
N20000433,11,31,47,78,22,23,17,13,10
N20000434,30,34,17,44,13,40,12,15,15
N20000435,7,63,39,65,16,43,6,12,10
N20000436,7,26,29,77,8,6,5,9,6
N20000437,32,48,10,23,13,15,12,11,10
N20000438,8,38,20,45,6,14,6,4,7
N20000439,19,46,13,27,19,29,19,13,4
N20000440,28,37,11,28,13,22,16,8,11
N20000441,29,31,20,35,13,13,9,32,9
N20000442,14,41,12,38,9,32,17,10,8
N20000443,0,24,38,68,4,12,2,8,7
N20000444,1,24,26,46,7,14,5,8,15
N20000445,21,47,24,37,15,27,19,9,12
N20000446,11,42,42,70,17,21,7,15,19
N20000447,6,35,56,59,11,9,11,5,6
N20000448,8,34,28,74,9,24,9,8,9
N20000449,12,32,16,37,3,31,9,11,8
N20000450,25,8,26,23,24,5,9,14,0
N20000451,28,22,28,69,30,22,9,35,12
N20000452,9,36,24,43,12,23,7,4,6
N20000453,3,19,20,80,5,36,8,3,10
N20000454,18,21,19,29,9,18,7,11,5
N20000455,5,33,30,63,7,5,1,5,5
N20000456,15,24,19,45,12,6,7,26,8
N20000457,41,30,39,53,16,15,10,28,4
N20000458,22,22,21,30,21,6,9,23,9
N20000459,39,38,24,33,13,9,14,18,6
N20000460,16,53,42,79,13,17,6,19,25
N20000461,5,57,39,98,9,23,12,1,5
N20000462,21,20,29,44,27,10,11,30,2
N20000463,46,28,30,24,9,6,12,39,9
