dz_2021_code,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20000438,11,34,141,19,158
N20000439,12,33,81,9,321
N20000440,12,35,104,9,246
N20000441,17,44,115,10,262
N20000442,12,46,91,11,311
N20000443,10,43,199,15,177
N20000444,19,48,155,20,166
N20000445,21,43,118,11,327
N20000446,22,50,253,31,311
N20000447,24,45,222,23,206
N20000448,32,64,179,16,291
N20000449,14,46,97,7,249
N20000450,9,35,95,14,160
N20000451,31,62,233,18,377
N20000452,23,40,139,9,209
N20000453,21,65,173,10,331
N20000454,10,44,74,5,189
N20000455,13,24,177,25,220
N20000456,17,26,132,10,237
N20000457,26,45,191,28,329
N20000458,17,36,119,16,216
N20000459,15,35,121,12,234
N20000460,28,63,253,34,329
N20000461,22,59,271,22,281
N20000462,22,54,150,20,243
N20000463,16,36,110,9,241
N20000464,24,43,143,21,293
N20000465,7,24,60,5,145
N20000466,16,46,117,14,311
N20000467,35,44,149,17,240
N20000468,16,38,126,8,272
N20000469,26,47,174,20,306
N20000470,19,46,166,13,224
N20000471,25,59,206,30,311
N20000472,30,43,187,18,333
N20000473,20,39,158,27,225
N20000474,43,83,219,43,336
N20000475,24,66,212,39,307
N20000476,30,57,167,41,273
N20000477,19,57,156,45,287
N20000478,36,51,208,34,289
N20000479,9,37,104,10,222
N20000480,27,46,169,30,206
N20000481,47,54,175,27,359
N20000482,37,77,235,42,384
N20000483,22,46,297,24,293
N20000484,35,55,192,13,257
N20000485,25,62,194,23,329
N20000486,22,39,228,25,260
N20000487,29,58,201,23,229
N20000488,32,54,151,33,276
N20000489,24,43,122,15,238
N20000490,36,64,144,5,537
N20000491,18,34,87,1,295
N20000492,24,59,175,12,259
N20000493,41,50,189,24,289
N20000494,19,56,112,11,418
N20000495,44,65,192,31,318
N20000496,26,63,229,30,323
N20000497,22,40,175,24,206
N20000498,15,42,129,21,284
N20000499,28,65,155,19,289
N20000500,17,37,125,11,208
N20000501,10,47,234,33,224
N20000502,21,50,161,21,196
N20000503,13,30,100,8,256
N20000504,13,32,98,11,202
N20000505,7,36,87,4,207
N20000506,14,37,134,11,306
N20000507,33,53,189,19,367
N20000508,12,41,108,2,224
N20000509,12,29,88,1,204
N20000510,31,73,194,26,295
N20000511,28,42,127,8,330
