dz_2021_code,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
N20000343,669,0,0,0,0,0,0,0,0,0,0,1,1
N20000344,583,0,0,0,0,0,0,0,0,0,0,0,0
N20000345,570,0,0,0,0,0,0,0,0,0,1,0,0
N20000346,654,0,0,2,0,0,0,0,0,0,0,1,0
N20000347,517,0,0,0,0,0,0,0,0,0,0,1,0
N20000348,525,0,0,1,0,0,0,0,0,0,0,0,0
N20000349,454,0,9,0,2,0,0,0,0,0,0,4,0
N20000350,607,10,0,4,0,0,0,0,0,0,0,2,6
N20000351,420,0,0,0,0,0,5,0,0,4,1,0,1
N20000352,562,3,0,0,0,0,0,0,2,1,0,5,7
N20000353,509,2,0,0,0,0,0,0,0,0,0,1,0
N20000354,735,0,0,0,0,0,0,0,0,0,0,1,0
N20000355,526,0,0,0,0,0,0,0,0,0,1,0,0
N20000356,694,0,0,1,0,4,0,0,0,0,0,2,0
N20000357,388,0,0,1,0,0,0,0,0,1,0,2,0
N20000358,558,0,0,0,0,3,0,0,0,0,0,0,0
N20000359,549,0,0,1,1,0,0,0,0,1,0,3,0
N20000360,402,1,0,0,0,0,0,0,0,0,0,0,0
N20000361,657,0,0,0,0,1,1,0,0,8,0,1,1
N20000362,644,0,1,0,1,0,0,1,0,0,0,1,0
N20000363,486,0,0,0,0,0,0,0,0,0,0,2,2
N20000364,551,0,0,0,0,0,0,0,3,0,0,4,1
N20000365,537,0,0,1,1,0,0,0,0,0,0,0,0
N20000366,467,0,0,0,0,0,0,0,0,0,0,0,0
N20000367,593,0,0,0,0,0,0,0,0,0,0,4,0
N20000368,640,3,0,0,0,0,0,0,1,0,6,7,11
N20000369,649,0,0,0,0,0,0,0,0,0,1,7,1
N20000370,399,0,0,6,0,1,0,0,4,0,0,4,0
N20000371,582,0,0,1,1,0,0,0,10,10,0,2,3
N20000372,622,0,0,5,0,0,0,0,4,9,3,8,1
N20000373,554,0,0,0,0,0,2,0,0,15,0,9,0
N20000374,349,0,0,0,0,0,0,0,4,8,7,0,0
N20000375,271,6,0,0,0,8,0,0,4,19,11,6,0
N20000376,236,3,0,0,0,0,0,0,7,14,11,5,0
N20000377,401,0,0,0,0,11,0,2,12,26,7,12,2
N20000378,379,0,0,3,0,1,0,0,8,0,0,17,1
N20000379,551,0,4,0,0,7,0,0,10,21,37,27,1
N20000380,380,0,0,3,1,0,0,0,0,0,0,3,0
N20000381,487,0,0,6,0,0,0,3,6,50,6,11,8
N20000382,400,3,1,5,0,0,0,0,41,47,52,27,15
N20000383,651,0,0,1,0,0,1,0,0,0,0,2,0
N20000384,610,0,0,11,3,3,0,0,4,11,3,5,0
N20000385,324,1,0,0,0,1,0,0,0,8,0,6,5
N20000386,333,0,1,0,0,2,0,0,16,47,17,15,4
N20000387,286,1,0,0,1,1,0,0,0,0,1,3,0
N20000388,369,0,1,0,0,0,0,3,0,6,0,0,4
N20000389,675,0,0,3,0,1,0,0,2,5,0,14,1
N20000390,409,0,5,1,0,0,1,0,1,8,0,9,3
N20000391,250,0,0,0,0,0,0,0,0,15,0,5,5
N20000392,516,0,0,0,5,3,0,1,4,0,0,7,0
N20000393,371,0,3,4,9,0,0,0,13,30,13,10,11
N20000394,299,0,0,0,0,0,1,0,6,0,0,3,1
N20000395,337,5,4,18,8,3,7,0,15,54,57,27,6
N20000396,396,0,5,3,1,2,0,0,1,17,1,3,1
N20000397,688,0,0,5,12,0,0,0,5,1,0,3,1
