dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000614,186,254,120,10,85,2,120,7
N20000615,183,41,57,0,10,9,104,6
N20000616,116,52,61,5,17,2,76,14
N20000617,117,45,75,7,20,3,61,2
N20000618,147,76,58,0,30,5,99,4
N20000619,233,33,23,5,18,4,73,2
N20000620,199,103,75,7,53,14,149,10
N20000621,381,116,94,2,48,4,150,7
N20000622,214,49,73,8,22,9,81,3
N20000623,148,122,66,16,45,0,125,6
N20000624,120,42,27,14,28,13,50,6
N20000625,240,49,44,2,36,14,137,7
N20000626,121,113,72,20,46,1,81,10
N20000627,206,90,84,3,34,0,98,11
N20000628,94,151,82,8,36,3,88,3
N20000629,97,103,116,5,76,4,55,18
N20000630,142,95,55,15,25,5,54,13
N20000631,121,88,66,5,16,14,62,3
N20000632,150,68,64,7,32,2,107,1
N20000633,75,111,86,13,30,7,77,5
N20000634,42,98,101,7,34,8,102,4
N20000635,222,155,85,15,52,4,110,3
N20000636,127,156,92,1,53,6,134,2
N20000637,124,143,100,15,51,7,126,8
N20000638,99,129,97,10,52,4,86,4
N20000639,135,105,136,11,53,8,82,1
N20000640,255,143,130,6,69,0,112,6
N20000641,244,147,74,12,57,13,165,15
N20000642,211,62,39,7,21,0,65,13
N20000643,196,114,70,18,32,0,92,5
N20000644,46,143,99,0,31,1,63,6
N20000645,294,172,58,6,32,3,84,9
N20000646,286,60,75,5,44,7,73,6
N20000647,279,88,73,8,33,0,36,6
N20000648,110,275,65,7,87,3,56,3
N20000649,291,187,85,6,132,5,64,7
N20000650,70,172,55,0,33,5,51,5
N20000651,485,119,28,2,45,4,65,13
N20000652,241,174,85,6,22,2,51,0
