dz_2021_code,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20001979,393,3,6,0,3,1,21,6
N20001980,434,18,13,6,5,5,19,26
N20001981,395,0,0,0,1,0,13,4
N20001982,441,2,14,0,3,0,18,9
N20001983,479,1,7,0,3,4,18,9
N20001984,436,7,0,0,3,0,20,4
N20001985,396,7,5,0,2,3,21,3
N20001986,612,5,7,2,5,1,33,14
N20001987,662,18,13,1,3,1,46,17
N20001988,499,136,61,4,5,2,43,5
N20001989,504,69,69,3,7,0,46,14
N20001990,478,181,38,0,27,5,64,10
N20001991,291,75,49,0,14,1,36,4
N20001992,276,63,26,0,24,2,32,3
N20001993,187,19,17,0,0,0,11,3
N20001994,449,10,11,1,5,8,28,6
N20001995,414,7,18,5,8,1,20,3
N20001996,469,5,4,0,2,0,15,5
N20001997,585,17,3,3,2,3,29,1
N20001998,596,35,39,1,10,1,39,5
N20001999,285,1,3,0,1,0,5,3
N20002000,289,69,99,0,8,0,35,7
N20002001,341,64,61,1,18,2,34,5
N20002002,263,47,52,0,5,0,29,3
N20002003,284,4,5,0,0,1,16,2
N20002004,400,31,60,0,14,0,36,5
N20002005,435,44,51,0,0,1,18,4
N20002006,356,67,64,3,30,4,27,2
N20002007,195,169,103,24,19,2,62,8
N20002008,179,251,84,49,19,0,30,5
N20002009,265,53,64,2,3,3,32,5
N20002010,162,116,119,1,5,0,23,12
N20002011,311,70,101,0,26,1,48,4
N20002012,323,4,13,1,8,3,12,6
N20002013,362,112,159,9,24,1,36,5
N20002014,443,18,29,0,8,6,27,3
N20002015,123,154,153,32,35,3,22,12
N20002016,178,38,59,16,11,4,26,15
N20002017,209,161,98,8,9,5,57,7
N20002018,320,13,42,0,4,3,22,3
N20002019,280,83,85,11,7,3,13,2
N20002020,176,91,112,7,15,4,29,5
N20002021,116,65,107,12,3,0,47,5
N20002022,92,152,198,24,26,3,24,5
N20002023,487,24,28,25,0,2,20,4
N20002024,93,319,178,35,8,2,30,16
N20002025,196,257,143,23,45,1,24,9
N20002026,369,43,15,0,1,1,13,1
N20002027,105,88,115,62,12,3,17,3
N20002028,125,157,126,72,46,1,25,2
N20002029,193,43,192,86,46,6,78,17
N20002030,97,42,231,58,64,7,64,15
N20002031,375,49,156,30,55,6,46,9
N20002032,172,17,204,85,57,4,46,10
N20002033,91,24,120,21,39,3,27,3
N20002034,169,10,107,26,13,0,23,12
N20002035,184,12,132,33,18,2,74,4
N20002036,197,23,138,21,18,4,66,11
N20002037,631,19,71,13,21,1,45,6
N20002038,786,9,6,2,2,0,12,11
N20002039,297,22,231,54,25,3,53,13
N20002040,567,7,93,5,14,0,58,9
N20002041,320,16,177,23,29,0,27,5
N20002042,429,5,37,4,14,1,27,7
N20002043,235,8,22,7,10,2,35,6
N20002044,372,5,111,14,8,0,11,2
N20002045,258,2,44,3,3,1,24,5
N20002046,414,21,94,20,9,8,68,4
N20002047,312,6,67,12,5,3,33,2
N20002048,522,3,30,3,8,2,24,4
N20002049,391,1,36,0,2,12,13,6
N20002050,294,29,96,9,22,3,26,8
N20002051,496,13,104,10,19,5,27,22
N20002052,321,29,152,23,29,0,27,22
N20002053,455,12,57,10,4,1,22,7
N20002054,488,6,20,7,7,6,34,11
N20002055,568,23,129,20,11,6,36,19
N20002056,351,7,38,39,7,0,29,5
N20002057,314,17,116,54,29,1,56,10
N20002058,567,6,51,2,20,1,54,23
N20002059,342,4,15,0,11,2,38,2
N20002060,491,13,56,8,10,3,37,10
N20002061,351,27,227,35,58,14,154,9
N20002062,382,10,81,5,9,2,75,21
N20002063,366,3,75,5,17,7,48,15
N20002064,310,6,43,19,22,2,49,5
N20002065,199,18,244,91,53,6,109,3
N20002066,808,13,11,6,11,3,84,10
N20002067,330,7,67,15,24,4,29,6
N20002068,304,9,158,51,39,1,76,28
N20002069,499,18,149,16,39,9,65,10
N20002070,246,4,100,12,25,4,42,15
N20002071,340,7,162,53,12,3,53,19
N20002072,244,10,121,15,19,0,45,15
N20002073,305,7,248,46,15,1,44,22
N20002074,429,1,23,1,11,0,19,7
N20002075,406,0,58,31,16,1,28,8
N20002076,424,8,51,0,10,1,21,3
N20002077,605,0,9,2,28,6,38,13
N20002078,338,2,67,0,9,13,23,5
N20002079,631,7,26,0,2,4,43,9
N20002080,330,3,139,6,25,1,17,7
N20002081,192,34,158,16,38,3,50,14
N20002082,51,52,153,57,51,8,45,4
N20002083,105,32,190,29,52,0,47,10
N20002084,140,21,175,29,56,10,65,32
N20002085,131,12,39,4,13,9,18,4
N20002086,541,7,32,3,39,20,75,13
N20002087,293,19,114,15,45,10,67,6
N20002088,338,13,70,8,24,9,64,4
N20002089,234,3,30,1,14,0,38,10
N20002090,287,18,101,24,39,12,80,9
N20002091,293,14,14,9,17,2,50,5
N20002092,327,16,82,20,41,0,84,16
N20002093,266,9,137,27,35,9,100,6
N20002094,379,10,88,9,15,3,72,11
N20002095,456,1,10,0,15,19,50,10
N20002096,231,3,27,1,16,6,42,4
N20002097,215,14,118,23,33,11,56,7
N20002098,377,8,36,18,48,37,93,24
N20002099,221,13,49,17,27,0,42,13
N20002100,262,7,152,14,25,7,35,19
N20002101,141,4,20,2,14,8,29,4
N20002102,233,14,82,12,30,15,99,30
N20002103,259,4,54,6,11,17,51,6
N20002104,257,7,57,8,35,17,41,5
N20002105,116,10,39,12,17,6,67,1
N20002106,257,14,117,7,26,12,64,4
N20002107,182,8,59,3,24,22,60,20
N20002108,217,18,195,27,33,5,87,10
N20002109,186,18,146,26,39,6,28,34
N20002110,65,11,95,16,23,2,49,5
N20002111,227,20,115,25,18,5,59,7
N20002112,187,14,59,7,6,7,55,2
N20002113,255,26,118,22,17,1,47,3
N20002114,229,8,39,3,17,6,53,4
N20002115,266,5,28,5,3,1,43,3
N20002116,284,10,100,14,14,4,92,9
N20002117,46,31,218,57,53,6,45,2
N20002118,55,40,173,32,29,7,35,24
N20002119,53,61,204,58,42,5,54,7
N20002120,156,36,208,29,28,5,90,9
N20002121,245,42,193,49,17,4,69,13
N20002122,260,18,273,29,36,3,47,3
N20002123,111,17,276,7,45,7,42,12
N20002124,423,12,46,4,6,5,17,10
N20002125,255,21,107,14,18,4,54,9
N20002126,118,29,231,31,23,7,61,15
N20002127,105,60,245,25,41,3,85,11
N20002128,402,2,6,2,7,1,32,9
N20002129,360,26,133,30,20,9,30,8
N20002130,169,44,329,32,23,4,50,12
N20002131,347,1,18,0,6,1,42,16
N20002132,321,12,45,10,7,0,48,4
N20002133,374,13,65,12,12,5,43,32
N20002134,318,11,32,7,6,1,42,7
N20002135,212,21,65,6,7,2,33,7
N20002136,94,10,19,3,5,2,17,1
N20002137,422,4,29,5,10,1,41,12
N20002138,294,15,34,4,5,0,34,11
N20002139,215,50,241,60,20,3,45,10
N20002140,41,19,278,52,30,1,32,9
N20002141,32,20,198,42,32,1,52,2
N20002142,360,31,175,34,36,0,52,10
N20002143,36,31,243,67,63,12,67,3
N20002144,487,17,65,20,22,1,47,11
N20002145,222,30,157,54,56,3,43,15
N20002146,309,14,69,24,2,3,27,10
N20002147,167,66,202,66,77,3,45,9
N20002148,269,27,183,59,46,5,45,9
N20002149,260,6,77,7,15,4,62,23
N20002150,64,160,84,5,25,13,23,9
N20002151,279,139,58,15,13,0,31,2
N20002152,309,68,80,11,14,0,27,5
N20002153,171,198,81,16,29,0,29,2
N20002154,386,2,50,5,36,4,30,4
N20002155,402,58,118,16,30,1,25,5
N20002156,360,94,59,3,18,7,21,11
N20002157,447,34,60,3,7,0,32,4
N20002158,200,117,54,19,38,6,33,6
N20002159,333,18,8,2,8,2,7,2
N20002160,544,26,60,13,11,0,29,8
N20002161,455,92,90,10,35,2,80,14
N20002162,451,23,46,1,18,2,17,4
N20002163,289,16,45,1,3,2,21,0
N20002164,474,131,107,10,64,4,63,4
N20002165,278,85,109,20,68,0,32,7
N20002166,260,5,23,0,12,0,15,3
N20002167,228,3,6,1,11,14,23,1
N20002168,378,148,88,4,36,9,39,14
N20002169,248,1,52,1,22,5,19,1
N20002170,280,17,22,0,10,2,22,6
N20002171,369,61,39,3,29,8,27,17
N20002172,218,21,32,3,9,0,16,4
N20002173,406,61,39,0,8,1,15,20
N20002174,439,47,87,23,31,5,22,12
N20002175,403,16,84,16,11,2,17,12
N20002176,520,54,105,0,28,0,28,11
N20002177,422,38,42,14,38,7,29,18
N20002178,421,7,42,8,3,3,37,10
N20002179,376,6,32,8,18,1,15,0
N20002180,263,8,168,50,50,6,27,9
N20002181,264,76,117,17,16,9,74,7
N20002182,424,25,41,9,18,3,49,6
N20002183,638,8,8,2,17,26,56,28
N20002184,289,18,39,1,12,0,68,22
N20002185,277,9,17,1,10,2,26,7
N20002186,211,38,25,2,6,1,24,4
N20002187,478,6,16,0,6,1,43,8
N20002188,218,7,6,3,10,0,24,3
N20002189,231,60,37,11,5,3,34,11
N20002190,537,15,15,1,6,9,74,11
N20002191,310,11,7,0,2,1,21,7
N20002192,330,59,76,2,20,6,52,13
N20002193,387,17,29,4,12,5,62,7
N20002194,396,10,9,0,8,1,24,10
N20002195,300,37,35,11,22,13,58,16
N20002196,346,108,88,4,13,18,109,14
N20002197,101,91,87,4,33,5,59,9
N20002198,257,4,4,2,16,5,46,5
N20002199,166,22,15,3,15,7,44,11
N20002200,55,136,163,21,39,7,73,13
N20002201,75,66,101,9,10,6,25,1
N20002202,394,4,7,0,11,2,59,5
N20002203,263,4,1,0,3,3,20,4
N20002204,295,0,2,0,6,15,19,4
N20002205,215,6,5,0,12,2,29,1
N20002206,58,63,67,5,33,4,53,7
N20002207,219,76,73,15,20,0,48,1
N20002208,220,23,36,12,4,6,42,9
N20002209,126,89,94,21,17,4,35,1
N20002210,526,6,9,2,7,0,36,4
N20002211,215,34,44,3,9,3,50,5
N20002212,278,13,4,1,24,3,25,23
N20002213,520,28,27,5,21,0,79,26
N20002214,380,4,2,0,13,0,32,5
N20002215,458,11,27,5,4,1,32,2
N20002216,481,38,46,3,14,4,68,7
N20002217,46,157,140,30,21,15,34,10
N20002218,303,45,36,5,24,6,54,9
N20002219,526,16,31,0,11,2,87,22
N20002220,322,56,45,7,6,2,47,5
N20002221,371,13,99,0,7,2,56,4
N20002222,171,146,36,0,12,1,36,7
N20002223,514,3,14,0,2,0,15,20
N20002224,538,0,0,0,3,0,13,11
N20002225,395,10,31,0,5,0,26,4
N20002226,358,105,124,2,22,1,46,34
N20002227,151,105,105,2,30,1,30,12
N20002228,490,1,8,0,3,0,7,11
N20002229,381,5,6,5,3,1,29,3
N20002230,298,47,29,4,22,4,24,7
N20002231,710,2,11,0,9,1,10,13
N20002232,247,48,66,20,19,0,18,6
N20002233,454,32,67,3,17,7,45,8
N20002234,345,24,37,24,11,0,26,4
N20002235,468,3,23,0,11,1,25,6
N20002236,481,50,34,0,21,3,76,15
N20002237,691,5,2,0,15,4,16,19
N20002238,565,11,17,2,3,0,41,24
N20002239,539,28,33,5,3,6,27,18
N20002240,620,0,5,0,11,3,12,4
N20002241,304,3,11,2,7,0,8,5
N20002242,457,71,82,6,3,2,38,10
N20002243,352,14,65,0,25,0,17,22
N20002244,293,61,63,1,18,0,28,13
N20002245,342,116,99,23,28,3,58,12
N20002246,168,150,148,1,32,0,39,7
N20002247,355,76,86,1,12,6,54,20
N20002248,724,12,21,0,15,6,28,29
N20002249,282,142,59,8,63,0,30,2
N20002250,308,85,46,3,27,1,25,12
N20002251,461,4,27,0,0,0,16,15
N20002252,77,104,96,16,59,10,159,13
N20002253,50,46,58,11,49,4,76,2
N20002254,63,121,66,24,67,7,137,1
N20002255,38,51,47,14,17,4,99,3
N20002256,88,89,90,11,58,2,99,1
N20002257,226,105,98,15,45,12,122,6
N20002258,63,119,178,38,54,14,110,6
N20002259,21,139,132,26,54,8,111,2
N20002260,70,168,121,13,51,12,99,2
N20002261,55,109,162,16,29,5,98,7
N20002262,50,79,156,15,45,4,130,8
N20002263,90,72,94,9,43,13,96,7
N20002264,88,116,139,9,53,0,101,4
N20002265,27,53,77,9,18,3,68,5
N20002266,96,89,148,9,51,6,121,5
N20002267,51,33,100,13,20,10,73,5
N20002268,199,169,305,45,142,7,201,9
N20002269,63,142,125,33,69,12,176,10
N20002270,43,33,56,15,14,7,77,7
N20002271,84,75,127,5,28,4,122,6
N20002272,113,97,92,16,43,8,171,2
N20002273,118,82,132,17,52,4,131,6
N20002274,63,144,125,19,43,0,110,7
N20002275,121,91,161,7,54,2,159,4
N20002276,132,74,134,23,45,10,65,10
N20002277,90,193,123,27,134,1,129,10
N20002278,37,113,115,10,39,5,60,8
N20002279,35,58,50,5,27,9,65,1
N20002280,50,113,123,9,53,5,84,3
N20002281,77,178,165,10,71,3,135,12
N20002282,47,111,101,15,34,7,102,2
N20002283,31,56,44,6,15,6,56,5
N20002284,79,241,207,26,138,12,124,12
N20002285,39,182,128,14,72,2,104,3
N20002286,29,148,72,7,64,10,55,4
N20002287,206,111,64,25,25,0,99,1
N20002288,745,11,22,1,10,1,95,6
N20002289,501,174,55,7,33,0,79,55
N20002290,411,8,5,6,9,0,43,2
N20002291,284,18,18,1,6,0,55,2
N20002292,609,6,9,5,4,0,42,5
N20002293,322,37,39,11,24,11,66,2
N20002294,177,93,115,22,35,0,65,6
N20002295,352,21,69,13,37,4,115,13
N20002296,245,85,148,18,63,6,154,1
N20002297,205,66,124,16,46,0,107,8
N20002298,103,121,95,18,46,2,76,6
N20002299,196,60,106,19,52,3,57,10
N20002300,136,80,138,26,46,2,154,1
N20002301,37,82,83,41,36,4,48,2
N20002302,68,130,97,22,57,6,85,4
N20002303,123,64,101,38,71,0,152,5
N20002304,55,71,105,18,43,1,85,2
N20002305,307,57,49,19,32,8,86,6
N20002306,285,49,51,15,28,7,149,1
N20002307,166,68,18,11,24,4,49,1
N20002308,259,39,37,14,20,4,117,7
N20002309,247,70,64,5,40,4,130,6
N20002310,338,115,95,29,77,18,107,2
N20002311,67,91,103,26,70,1,67,2
N20002312,235,71,71,31,42,7,122,4
N20002313,44,144,150,27,46,2,116,2
N20002314,38,51,73,17,34,11,76,2
N20002315,50,86,99,28,47,3,120,1
N20002316,31,79,89,19,30,6,74,3
N20002317,94,107,170,35,61,5,118,5
N20002318,250,127,114,39,59,12,83,156
N20002319,121,82,232,32,91,2,170,6
N20002320,78,134,182,23,103,7,216,5
N20002321,40,120,93,24,115,4,161,2
N20002322,35,101,188,51,91,11,155,10
N20002323,46,105,159,35,92,15,166,5
N20002324,52,133,226,50,84,8,105,9
N20002325,34,102,146,51,64,10,144,6
N20002326,127,123,118,34,47,8,108,12
N20002327,39,94,87,33,42,6,66,2
N20002328,38,101,124,31,48,7,129,0
N20002329,34,158,153,33,78,0,197,4
N20002330,75,102,98,37,53,5,144,10
N20002331,151,46,21,7,17,11,154,1
N20002332,28,149,169,26,56,9,187,5
N20002333,62,63,97,35,38,1,86,6
N20002334,57,192,175,24,67,6,185,3
N20002335,83,95,76,12,35,3,144,17
N20002336,114,104,144,48,71,10,158,1
N20002337,35,138,93,25,71,8,100,1
N20002338,47,63,47,9,18,12,62,0
N20002339,48,76,120,26,54,14,90,3
N20002340,29,51,62,18,17,3,47,3
N20002341,68,117,100,32,54,6,142,14
N20002342,113,63,78,18,39,9,176,4
N20002343,61,67,63,32,39,12,82,2
N20002344,128,89,128,28,58,8,171,4
N20002345,49,90,78,21,33,8,87,6
N20002346,89,58,69,27,34,10,89,4
N20002347,56,111,115,38,41,4,144,22
N20002348,74,71,77,14,36,5,123,9
N20002349,150,93,81,23,99,9,198,4
N20002350,95,82,101,12,60,17,125,4
N20002351,190,57,78,15,61,29,237,4
N20002352,89,84,147,20,59,8,98,4
N20002353,226,147,123,30,64,14,216,3
N20002354,100,33,58,14,32,0,68,6
N20002355,226,60,71,11,25,3,86,8
N20002356,201,68,55,5,31,1,103,12
N20002357,162,49,68,6,39,13,88,8
N20002358,142,58,41,10,40,4,70,3
N20002359,81,24,33,4,24,6,52,0
N20002360,121,80,98,12,52,25,109,1
N20002361,214,40,33,0,26,0,72,6
N20002362,181,99,127,22,41,17,152,17
N20002363,139,78,123,12,37,6,110,5
N20002364,185,44,64,4,40,9,106,16
N20002365,50,69,44,3,25,1,97,9
N20002366,87,78,124,12,39,16,129,7
N20002367,163,62,65,10,30,1,119,5
N20002368,66,83,115,22,36,5,178,10
N20002369,92,64,92,26,55,1,72,22
N20002370,26,96,106,23,40,14,162,10
N20002371,38,103,84,3,52,13,141,6
N20002372,159,114,138,20,84,8,126,41
N20002373,179,98,140,33,60,26,148,16
N20002374,43,129,104,14,35,10,153,12
N20002375,31,90,87,9,28,11,145,8
N20002376,36,51,40,12,14,17,54,3
N20002377,407,34,45,9,30,12,133,8
N20002378,306,63,49,15,17,10,59,19
N20002379,59,166,147,72,93,41,142,35
N20002380,15,100,97,31,35,15,122,6
N20002381,186,44,100,10,12,3,99,5
N20002382,26,127,139,49,76,27,175,19
N20002383,108,59,51,19,33,20,114,3
N20002384,70,82,128,8,33,6,157,11
N20002385,398,28,38,3,20,10,118,3
N20002386,38,154,109,28,78,16,212,4
N20002387,185,60,69,26,60,21,201,5
N20002388,32,162,95,49,57,16,165,5
N20002389,331,27,35,11,39,28,94,2
N20002390,278,80,73,25,43,1,81,7
N20002391,120,31,45,8,6,0,45,3
N20002392,454,62,77,17,14,8,129,4
N20002393,170,108,74,26,37,4,149,4
N20002394,65,116,104,12,35,1,130,4
N20002395,259,31,21,1,6,5,69,4
N20002396,94,55,54,13,42,0,85,7
N20002397,115,80,78,17,21,13,149,4
N20002398,169,53,49,20,20,8,134,0
N20002399,261,108,112,29,48,12,132,6
N20002400,65,55,48,16,40,4,70,6
N20002401,105,85,56,5,53,13,77,10
N20002402,106,54,53,5,53,7,131,4
N20002403,66,56,79,13,42,10,128,9
N20002404,162,74,105,39,160,21,477,7
N20002405,122,109,46,14,56,25,136,6
N20002406,204,97,83,20,25,9,121,5
N20002407,24,31,58,13,36,4,80,5
N20002408,126,116,114,26,44,7,121,12
N20002409,58,114,58,27,25,15,114,2
N20002410,66,98,60,10,44,0,115,2
N20002411,139,85,84,38,59,12,170,6
N20002412,145,90,66,5,35,5,124,6
N20002413,62,53,47,19,30,3,83,6
N20002414,96,90,77,30,40,7,172,19
N20002415,71,69,101,24,38,9,119,7
N20002416,59,89,102,15,38,15,90,7
N20002417,80,147,109,17,47,4,103,7
N20002418,93,58,57,31,51,5,129,2
N20002419,71,31,31,10,45,3,81,7
N20002420,92,53,115,36,38,14,124,2
N20002421,67,44,42,6,26,8,79,4
N20002422,53,43,40,13,30,5,79,6
N20002423,102,65,132,10,38,5,140,10
N20002424,138,94,108,17,28,6,134,8
N20002425,141,126,138,13,84,8,109,3
N20002426,85,119,79,19,33,0,121,4
N20002427,111,132,82,25,53,8,103,4
N20002428,31,59,50,11,28,4,51,0
N20002429,24,139,85,6,45,21,239,13
N20002430,108,108,48,5,32,11,108,9
N20002431,30,107,72,12,48,8,159,3
N20002432,50,128,67,35,42,19,126,17
N20002433,71,183,48,2,34,2,92,1
N20002434,6,117,45,7,25,3,57,7
N20002435,103,166,88,10,94,13,185,10
N20002436,68,123,63,19,73,7,95,2
N20002437,136,186,103,16,87,13,161,9
N20002438,42,157,68,22,92,3,89,2
N20002439,135,268,87,19,111,7,131,7
N20002440,42,232,132,16,103,4,104,11
N20002441,77,179,147,37,48,5,122,3
N20002442,50,188,61,19,94,4,126,5
N20002443,25,111,108,10,46,4,104,4
N20002444,49,221,94,3,73,4,112,21
N20002445,51,204,102,14,53,9,141,7
N20002446,27,215,113,26,99,4,113,6
N20002447,47,207,101,14,96,5,103,9
N20002448,56,135,88,16,65,0,115,10
N20002449,31,232,84,10,89,0,95,7
N20002450,58,177,85,12,62,3,131,4
N20002451,27,236,82,12,124,5,94,13
N20002452,53,187,41,13,83,0,113,14
N20002453,73,116,80,17,64,8,91,7
N20002454,114,170,88,14,86,2,141,7
N20002455,86,113,49,7,32,0,87,1
N20002456,332,50,37,23,24,4,181,17
N20002457,197,45,42,11,36,10,148,4
N20002458,281,64,40,32,23,6,122,2
N20002459,199,61,31,14,50,8,120,7
N20002460,81,25,16,7,17,4,91,6
N20002461,251,91,80,25,36,22,220,4
N20002462,103,85,53,13,43,10,164,6
N20002463,225,50,37,5,15,6,104,9
N20002464,153,44,57,15,28,7,129,4
N20002465,195,56,34,15,18,19,79,9
N20002466,90,26,17,13,20,4,68,2
N20002467,260,99,75,18,30,13,157,4
N20002468,219,71,37,18,39,22,146,7
N20002469,168,41,20,4,25,27,79,4
N20002470,305,71,52,21,28,7,180,11
N20002471,176,52,31,9,23,16,99,5
N20002472,195,59,49,14,37,10,94,6
N20002473,213,58,31,4,26,8,96,9
N20002474,297,90,76,11,46,16,178,1
N20002475,187,77,60,8,25,6,93,10
N20002476,346,58,46,24,36,23,154,7
N20002477,150,47,62,15,34,6,91,5
N20002478,409,73,66,13,28,47,148,10
N20002479,182,18,8,12,15,9,90,2
N20002480,321,62,36,9,18,15,148,4
N20002481,237,126,99,26,45,19,168,10
N20002482,390,32,28,4,49,60,135,3
N20002483,426,96,54,26,34,12,153,12
N20002484,353,123,63,30,52,9,179,33
N20002485,273,23,8,1,5,2,85,9
N20002486,151,31,16,5,27,3,29,6
N20002487,474,48,41,9,34,13,114,2
N20002488,325,64,43,12,23,5,78,6
N20002489,153,64,29,6,21,1,61,4
N20002490,250,133,63,13,38,8,113,13
N20002491,222,63,67,15,44,1,138,6
N20002492,62,57,53,12,51,11,101,2
N20002493,54,81,89,8,15,8,81,18
N20002494,214,31,29,1,25,9,103,3
N20002495,418,52,41,7,27,11,106,2
N20002496,364,92,52,18,56,15,134,4
N20002497,272,38,24,10,28,0,96,5
N20002498,66,113,47,11,70,7,85,0
N20002499,260,133,49,22,89,2,133,2
N20002500,30,234,186,64,176,4,210,13
N20002501,22,160,86,37,68,4,124,2
N20002502,34,96,69,25,76,3,107,4
N20002503,47,133,85,41,59,4,193,7
N20002504,37,64,52,21,36,11,78,7
N20002505,34,157,62,36,79,7,150,5
N20002506,25,77,62,12,38,1,107,2
N20002507,15,63,48,9,33,7,49,4
N20002508,82,97,75,19,65,11,167,4
N20002509,46,141,71,18,77,8,200,3
N20002510,1,87,64,17,48,4,112,11
N20002511,9,132,71,35,80,0,170,6
N20002512,40,100,75,24,69,5,153,5
N20002513,18,93,48,11,56,17,115,1
N20002514,29,171,98,37,51,6,197,7
N20002515,40,141,70,22,77,9,195,8
N20002516,95,135,87,10,79,11,164,4
N20002517,8,95,43,27,33,11,86,6
N20002518,34,98,71,22,69,1,162,6
N20002519,21,69,60,9,51,8,76,6
N20002520,38,151,77,25,83,10,140,16
N20002521,16,117,72,27,73,2,176,4
N20002522,3,98,62,42,38,8,111,8
N20002523,8,108,71,15,34,1,115,11
N20002524,45,149,81,12,58,9,159,12
N20002525,22,90,64,27,36,9,111,10
N20002526,71,104,72,21,80,7,206,5
N20002527,22,171,123,40,61,7,196,13
N20002528,29,84,30,8,42,7,139,6
N20002529,11,72,76,29,40,1,114,6
N20002530,13,136,105,28,55,1,123,1
N20002531,18,83,43,19,41,5,108,7
N20002532,33,113,66,38,44,9,159,2
N20002533,11,106,67,17,39,1,86,11
N20002534,40,96,112,26,87,3,163,11
N20002535,19,93,85,21,34,2,103,6
N20002536,40,137,86,34,91,1,172,3
N20002537,12,120,63,18,32,0,82,3
N20002538,35,124,52,33,48,5,136,1
N20002539,33,80,74,23,58,3,143,4
N20002540,20,183,51,9,66,1,96,5
N20002541,21,169,51,12,59,8,117,26
N20002542,16,119,58,17,35,5,114,3
N20002543,26,116,32,9,23,3,56,2
N20002544,11,141,49,11,44,2,113,12
N20002545,22,286,86,20,66,3,113,3
N20002546,23,218,86,28,106,9,135,5
N20002547,98,199,73,22,101,5,124,12
N20002548,134,317,18,8,86,1,80,7
N20002549,27,243,44,47,102,10,73,15
N20002550,94,268,28,25,115,0,60,2
N20002551,18,159,41,33,90,4,70,4
N20002552,170,179,29,3,30,2,34,10
N20002553,167,138,26,4,35,0,60,4
N20002554,8,147,38,30,42,6,71,12
N20002555,22,228,26,33,112,4,80,6
N20002556,15,223,52,28,54,5,123,7
N20002557,2,326,34,61,72,0,73,3
N20002558,6,146,23,26,58,2,73,7
N20002559,17,171,32,27,39,5,82,4
N20002560,162,103,43,3,16,7,44,7
N20002561,287,64,22,5,13,0,38,2
N20002562,278,126,26,5,35,4,73,8
N20002563,64,399,30,20,131,6,87,3
N20002564,43,320,60,18,114,3,95,11
N20002565,21,129,38,4,36,2,53,4
N20002566,21,150,67,14,52,1,84,2
N20002567,9,261,75,16,61,2,130,7
N20002568,31,152,36,3,31,1,73,4
N20002569,43,146,46,15,63,6,50,1
N20002570,73,170,60,9,44,1,60,4
N20002571,7,245,63,13,104,4,58,4
N20002572,16,311,45,18,74,8,71,3
N20002573,20,197,74,9,115,4,66,6
N20002574,32,298,100,8,118,2,86,10
N20002575,1,83,42,1,13,3,30,5
N20002576,12,276,104,12,67,0,87,9
N20002577,320,144,25,1,40,4,48,5
N20002578,29,220,73,13,86,2,106,4
N20002579,22,266,85,11,62,0,106,6
N20002580,97,253,40,2,90,6,46,10
N20002581,179,249,37,7,81,5,66,9
N20002582,46,319,48,9,91,0,109,7
N20002583,392,79,32,3,45,3,57,2
N20002584,167,237,60,5,121,5,79,13
N20002585,520,42,0,1,10,1,33,0
N20002586,121,214,46,3,126,0,94,4
N20002587,178,26,11,2,25,3,84,10
N20002588,308,55,26,6,31,6,106,33
N20002589,343,35,15,0,29,1,78,6
N20002590,293,49,12,5,19,0,84,4
N20002591,126,102,47,2,27,3,54,5
N20002592,209,79,37,5,17,1,85,8
N20002593,404,68,16,8,41,4,100,13
N20002594,238,57,47,6,47,7,81,27
N20002595,153,149,59,24,64,2,112,19
N20002596,153,34,18,2,45,7,70,4
N20002597,133,103,28,7,33,2,79,10
N20002598,277,32,13,0,7,4,50,4
N20002599,101,130,44,9,47,0,69,10
N20002600,72,242,68,24,58,3,90,4
N20002601,190,75,27,2,55,3,90,21
N20002602,284,56,6,1,44,7,70,17
N20002603,122,226,52,16,73,3,104,11
N20002604,408,75,23,3,56,2,114,16
N20002605,271,46,11,1,115,2,80,27
N20002606,189,178,68,19,109,2,146,29
N20002607,40,125,35,19,13,3,51,17
N20002608,81,36,19,4,10,4,53,5
N20002609,62,161,57,6,32,1,78,7
N20002610,74,121,22,11,54,5,75,3
N20002611,192,61,29,2,134,0,111,27
N20002612,297,41,20,1,67,4,62,12
N20002613,170,126,44,2,136,16,129,131
N20002614,154,79,43,5,52,1,55,15
N20002615,82,80,40,6,112,4,136,99
N20002616,106,77,27,2,37,5,89,6
N20002617,95,69,48,0,155,8,156,252
N20002618,70,184,47,6,53,3,47,3
N20002619,38,193,95,11,73,10,143,10
N20002620,59,127,48,4,103,6,123,77
N20002621,53,170,63,22,34,2,76,6
N20002622,23,169,61,9,58,12,103,6
N20002623,29,145,52,12,41,5,61,3
N20002624,99,133,50,16,48,6,89,3
N20002625,14,104,44,2,50,3,88,36
N20002626,4,165,46,8,44,0,92,6
N20002627,16,88,22,7,33,9,48,6
N20002628,75,103,30,9,147,12,128,33
N20002629,32,254,97,9,67,5,124,16
N20002630,57,114,37,1,45,0,66,8
N20002631,22,169,59,7,39,5,88,3
N20002632,41,195,66,4,44,1,102,9
N20002633,79,168,52,7,73,6,94,8
N20002634,70,146,32,11,60,3,141,7
N20002635,49,180,36,7,72,0,62,1
N20002636,24,90,30,7,44,1,71,14
N20002637,46,227,60,21,72,7,112,12
N20002638,54,126,44,1,61,0,97,10
N20002639,262,252,33,4,54,0,64,10
N20002640,601,6,10,1,11,0,79,6
N20002641,433,10,8,0,9,5,18,3
