dz_2021_code,age_0_years,age_1_year,age_2_years,age_3_years,age_4_years,age_5_years,age_6_years,age_7_years,age_8_years,age_9_years,age_10_years,age_11_years,age_12_years,age_13_years,age_14_years,age_15_years,age_16_years,age_17_years,age_18_years,age_19_years,age_20_years,age_21_years,age_22_years,age_23_years,age_24_years,age_25_years,age_26_years,age_27_years,age_28_years,age_29_years,age_30_years,age_31_years,age_32_years,age_33_years,age_34_years,age_35_years,age_36_years,age_37_years,age_38_years,age_39_years,age_40_years,age_41_years,age_42_years,age_43_years,age_44_years,age_45_years,age_46_years,age_47_years,age_48_years,age_49_years,age_50_years,age_51_years,age_52_years,age_53_years,age_54_years,age_55_years,age_56_years,age_57_years,age_58_years,age_59_years,age_60_years,age_61_years,age_62_years,age_63_years,age_64_years,age_65_years,age_66_years,age_67_years,age_68_years,age_69_years,age_70_years,age_71_years,age_72_years,age_73_years,age_74_years,age_75_years,age_76_years,age_77_years,age_78_years,age_79_years,age_80_years,age_81_years,age_82_years,age_83_years,age_84_years,age_85_years
N20002655,8,2,12,7,12,5,4,7,9,6,2,6,9,4,10,12,7,16,7,3,7,7,4,7,6,6,7,4,10,2,4,5,9,8,6,10,9,4,9,7,4,7,4,9,10,8,13,12,10,9,5,5,8,10,9,7,6,6,6,5,5,6,8,4,8,2,4,5,5,5,3,3,5,3,6,10,1,5,3,5,3,4,6,3,0,11
N20002656,3,7,4,4,4,4,3,5,6,5,4,2,6,7,5,4,2,3,6,5,6,4,4,2,4,5,5,5,7,8,10,6,6,5,8,2,5,6,3,5,7,5,12,2,3,4,4,7,7,6,4,6,6,10,8,7,9,7,9,9,5,4,7,4,10,4,4,4,8,2,8,7,8,6,5,12,8,8,5,6,5,6,2,4,4,20
N20002657,2,4,6,2,5,2,4,2,3,5,6,2,6,2,2,1,3,1,0,2,2,4,3,1,3,5,2,4,5,3,2,7,3,0,1,3,2,3,9,4,6,4,4,3,2,2,4,2,4,7,3,3,4,2,2,1,3,4,4,4,2,4,0,2,2,5,4,4,3,2,4,4,2,2,7,2,6,3,3,3,1,5,2,3,2,12
N20002658,4,7,8,6,7,3,6,3,7,6,5,6,9,12,5,9,12,16,12,11,8,5,6,5,1,5,9,4,5,6,5,4,7,7,5,9,4,6,3,6,4,5,8,3,7,6,14,9,19,11,15,14,12,12,12,11,10,6,10,3,7,8,6,8,1,9,6,4,5,6,7,8,4,6,4,2,6,4,2,5,4,8,7,9,3,13
N20002659,4,5,3,7,4,2,4,6,7,3,6,7,2,4,5,5,6,6,1,2,1,3,0,3,9,9,4,10,7,9,8,3,2,3,1,7,2,5,8,5,2,3,6,4,4,1,5,3,2,2,5,3,1,5,3,4,2,0,3,3,2,1,0,1,2,1,0,0,1,1,0,2,1,3,1,1,1,2,1,0,0,0,1,3,3,2
N20002660,4,2,7,5,1,5,5,5,2,3,6,2,5,6,11,8,3,5,3,4,2,3,3,1,2,4,1,3,1,1,3,2,3,2,8,4,4,3,6,6,2,1,4,4,3,4,7,9,5,1,5,6,3,10,9,10,5,6,5,2,5,5,12,2,3,6,2,4,2,5,6,7,9,7,8,8,10,4,4,5,2,11,2,8,5,18
N20002661,2,2,6,6,4,6,5,3,2,3,3,1,7,3,4,0,5,3,3,4,4,4,3,4,3,1,7,5,5,11,9,4,5,5,5,16,8,5,9,2,3,2,2,7,2,3,1,5,3,2,4,5,4,4,2,1,5,3,7,3,2,9,5,3,2,4,2,5,1,4,5,3,6,5,3,8,3,8,4,4,2,2,3,3,1,12
N20002662,11,10,6,7,8,8,10,7,14,8,10,6,11,11,6,12,13,11,2,8,2,8,4,13,3,7,3,8,7,6,8,5,9,3,13,5,6,11,5,7,10,7,16,4,5,6,12,12,8,10,14,8,7,4,10,10,9,14,9,8,2,9,7,12,8,14,6,7,13,4,7,8,5,4,7,3,5,4,11,6,2,1,0,3,3,9
N20002663,6,8,11,5,14,9,10,9,10,11,11,12,13,13,9,13,6,7,9,12,3,7,8,9,3,7,5,3,9,6,8,10,2,7,7,4,7,8,13,11,14,7,8,8,15,9,8,13,11,14,12,12,14,14,7,4,10,18,6,7,16,6,7,6,15,12,9,5,13,12,12,11,8,7,5,6,4,8,4,4,2,5,8,0,0,23
N20002664,4,7,5,13,12,8,7,11,9,10,7,11,9,7,8,3,7,10,12,9,2,4,4,3,10,4,5,2,5,5,2,4,6,4,7,6,11,7,13,6,7,11,10,8,4,11,11,7,6,8,7,10,10,8,5,10,15,10,4,11,8,14,9,8,6,6,6,6,7,4,3,3,5,3,6,4,2,3,4,5,2,2,3,1,2,11
N20002665,4,1,4,6,7,4,4,1,2,2,2,1,2,1,2,1,2,0,3,1,1,2,3,0,2,1,4,1,2,1,5,4,4,2,3,1,4,3,3,2,1,1,2,2,2,4,4,1,3,4,5,3,5,2,6,5,6,9,5,6,6,4,4,1,3,5,0,7,2,7,3,4,3,3,2,1,4,5,0,1,2,2,6,3,6,12
N20002666,4,11,9,3,7,7,7,10,4,6,6,3,4,6,6,7,4,2,5,6,5,4,6,8,6,4,8,5,2,10,13,10,6,7,7,6,7,3,6,7,6,9,6,9,2,6,5,6,8,6,7,9,11,11,8,5,6,4,13,7,6,5,3,10,5,5,7,4,4,8,2,8,3,4,3,1,3,2,3,0,2,2,3,0,3,16
N20002667,8,6,4,2,5,1,4,4,10,0,3,3,3,0,5,2,4,4,3,3,7,6,7,6,2,9,8,4,4,5,6,6,5,6,4,2,3,9,4,4,4,2,5,6,0,3,4,2,6,6,4,1,7,9,7,8,2,8,2,7,8,8,1,3,2,4,1,2,3,3,2,1,2,3,2,3,2,3,3,2,2,3,4,4,1,7
N20002668,1,4,1,2,1,6,6,3,5,9,8,4,6,5,7,11,4,10,8,9,3,4,5,9,6,6,5,5,2,5,6,2,4,4,2,5,3,6,4,9,5,4,10,9,6,7,7,10,6,13,8,5,7,19,7,10,12,19,18,15,8,10,9,7,7,7,10,11,6,11,9,8,2,6,5,4,4,4,5,1,1,6,2,1,5,13
N20002669,8,6,6,3,7,4,4,6,5,4,6,4,9,5,5,8,6,5,5,3,3,3,4,6,5,7,7,5,3,7,5,11,10,3,3,13,6,3,7,8,8,9,6,7,7,1,10,6,9,13,7,2,3,4,6,5,10,10,9,2,12,6,5,6,6,12,4,6,3,7,9,7,7,4,6,4,1,4,4,0,4,5,1,2,3,10
N20002670,4,5,5,3,6,3,8,2,7,5,7,7,6,6,5,1,3,1,4,6,3,5,3,7,1,1,4,6,3,4,6,2,6,6,2,6,6,5,4,10,7,9,5,7,6,5,5,4,5,8,3,2,3,8,8,7,11,7,9,11,5,8,10,7,9,5,10,6,5,6,5,9,8,15,8,5,5,12,12,4,11,9,11,4,8,41
N20002671,10,14,12,8,14,8,18,11,12,17,6,8,14,8,15,15,10,8,8,5,6,10,5,12,13,13,9,10,9,9,7,6,12,13,9,12,5,9,5,5,6,8,11,10,12,12,6,9,16,7,8,6,11,6,12,8,11,8,8,5,6,6,7,12,5,11,6,5,8,2,10,2,1,4,0,2,4,1,4,2,3,0,1,0,0,3
N20002672,2,1,2,1,0,1,0,0,1,1,1,1,4,2,0,3,1,3,1,2,3,1,2,4,2,0,2,2,4,3,4,5,1,6,3,1,4,1,1,2,0,5,2,1,0,1,2,4,6,5,3,2,4,2,4,4,4,2,3,0,1,4,2,3,2,4,4,3,0,5,3,3,5,6,7,1,0,3,2,3,0,3,2,2,2,7
N20002673,3,7,7,6,6,8,6,14,5,1,6,13,7,9,6,7,11,15,12,9,8,8,12,7,9,7,5,4,12,7,8,4,7,2,4,6,8,5,5,5,4,8,6,4,4,8,8,2,6,3,3,2,6,7,6,7,8,6,2,3,1,3,4,3,2,4,4,0,2,5,4,1,2,1,2,0,2,3,0,3,1,1,0,1,0,3
N20002674,3,3,2,2,5,10,6,7,2,2,5,7,4,6,4,4,8,4,3,2,4,3,3,2,7,2,5,4,8,3,4,5,6,2,4,5,8,8,8,6,5,5,4,4,3,4,3,2,7,8,7,6,7,13,5,3,3,0,7,7,8,7,8,10,5,7,7,4,9,5,11,8,11,4,4,3,6,4,4,3,1,2,1,3,0,11
N20002675,1,3,3,3,5,11,2,4,5,4,5,6,4,3,3,4,6,3,3,1,2,5,1,4,1,5,1,2,1,4,6,5,6,4,7,5,5,5,4,2,7,6,1,6,4,1,5,4,5,5,8,4,7,6,5,7,3,3,5,2,4,3,2,5,1,3,1,7,3,3,2,1,4,1,2,4,2,6,1,6,1,3,0,0,2,5
N20002676,5,13,2,8,7,4,6,8,5,6,10,10,10,11,11,8,8,4,10,4,3,8,12,8,11,7,6,5,12,4,10,10,6,8,8,12,4,7,9,10,5,13,12,10,8,3,8,8,8,10,5,13,14,12,16,13,19,8,6,12,11,7,7,7,10,9,16,2,3,8,4,7,8,7,7,3,6,4,4,3,1,7,4,2,5,17
N20002677,4,4,4,9,9,4,8,6,9,4,6,5,6,8,5,5,7,4,5,7,1,7,4,3,4,5,4,7,6,6,7,4,7,5,8,5,8,15,6,6,5,2,1,7,10,5,6,8,6,11,5,10,10,6,5,5,16,7,11,6,4,4,3,8,7,11,6,2,5,1,6,7,5,7,2,0,3,6,2,8,9,7,10,8,3,56
N20002678,5,9,3,8,8,10,8,10,7,8,10,4,9,10,10,9,7,6,4,6,5,5,0,7,6,9,5,6,7,9,11,7,9,8,10,4,6,8,7,6,7,4,13,7,8,4,5,2,6,10,14,10,8,5,9,14,4,7,9,15,15,6,9,4,11,6,15,8,10,11,8,6,9,3,7,9,3,9,4,3,4,4,4,2,3,18
N20002679,5,3,5,6,2,3,0,1,3,5,5,4,3,7,12,7,4,10,12,4,7,9,6,8,4,4,4,2,3,3,5,2,2,5,1,3,5,4,8,5,4,2,6,3,3,3,7,6,8,7,14,10,11,10,11,4,12,6,4,6,4,4,2,3,7,5,7,5,3,7,3,4,3,9,5,3,6,3,5,2,2,2,3,1,1,11
N20002680,4,8,10,2,6,3,3,7,1,4,3,4,9,4,0,7,10,6,5,6,9,4,6,7,6,7,7,5,9,4,2,11,2,1,9,5,6,8,10,0,4,4,4,5,6,6,8,5,6,8,4,12,9,7,7,3,4,4,9,2,8,4,4,4,6,2,6,3,6,3,2,6,4,3,2,0,3,1,3,0,2,1,1,0,2,7
N20002681,10,10,8,8,14,6,7,9,16,9,11,7,7,11,6,8,2,8,6,5,4,6,4,7,8,10,10,8,10,9,9,7,15,12,12,4,9,10,10,5,11,11,17,6,6,6,6,4,9,4,9,9,9,12,9,7,6,14,8,7,4,9,3,5,10,3,2,0,5,3,6,7,3,5,3,3,4,2,1,1,3,4,0,0,3,5
N20002682,14,12,5,10,15,10,5,10,9,8,7,7,11,9,7,9,13,3,9,7,2,8,7,5,7,6,9,13,18,15,11,11,11,16,10,8,7,5,3,12,7,7,6,8,12,11,10,9,4,14,6,9,15,4,9,7,9,6,13,9,14,9,3,3,4,9,10,3,4,4,3,3,4,8,6,1,6,0,3,2,1,3,2,0,1,10
N20002683,4,8,7,9,6,7,2,6,5,4,3,5,5,4,3,3,7,4,4,4,7,4,2,3,8,7,3,8,12,7,12,8,6,12,9,9,6,5,5,3,6,8,6,4,8,3,3,0,5,9,5,8,10,8,4,9,8,5,12,5,4,6,4,4,3,0,7,1,4,2,1,2,2,7,5,5,4,3,2,1,1,4,4,3,1,3
N20002684,2,3,1,2,6,2,4,2,0,4,4,3,2,4,4,3,2,3,5,4,3,3,5,4,5,6,6,4,4,4,6,1,3,1,3,2,5,6,2,3,3,1,1,2,4,6,2,2,7,6,8,9,7,4,11,10,3,6,8,4,9,3,6,7,1,2,12,4,3,3,6,5,2,2,4,3,1,5,5,6,0,4,8,3,3,5
N20002685,2,2,2,2,2,6,4,3,1,4,8,1,3,1,2,11,10,5,6,3,7,5,1,3,3,2,1,1,0,2,3,5,4,5,2,5,3,2,0,5,6,6,1,5,4,1,9,6,5,2,8,3,9,9,3,4,5,10,8,7,7,4,6,4,4,7,2,3,5,8,2,6,5,4,4,4,3,1,7,2,3,1,4,3,2,6
N20002686,3,6,2,4,7,5,6,7,3,3,3,4,5,5,4,10,7,8,6,5,9,4,7,4,3,10,4,6,2,2,3,4,4,8,2,3,1,7,1,5,5,3,2,4,5,6,3,3,3,10,7,4,10,12,10,9,7,5,9,7,3,5,3,6,6,2,2,7,4,7,5,4,5,3,6,2,3,4,2,4,3,1,2,2,1,17
N20002687,6,4,4,14,10,6,10,10,9,5,9,8,13,4,7,4,2,7,12,6,3,4,7,11,14,6,6,4,10,10,8,11,12,7,11,9,14,8,6,5,6,15,4,2,5,7,10,13,10,7,6,8,8,8,11,14,14,7,7,9,9,8,4,9,8,3,4,3,7,5,2,5,7,2,4,3,3,2,4,4,1,1,1,3,4,6
N20002688,7,6,2,6,5,6,2,9,3,8,1,6,4,6,3,7,6,4,2,2,5,5,5,4,8,3,7,6,6,8,2,4,4,4,5,1,5,11,5,4,3,6,8,7,7,2,7,4,3,4,8,5,6,6,5,8,7,7,5,11,8,8,9,8,5,7,5,2,9,4,4,4,9,4,3,1,2,8,1,5,3,5,1,6,2,17
N20002689,2,9,6,3,2,5,5,7,4,4,6,4,5,6,5,5,3,2,4,4,4,5,6,5,3,3,3,4,4,9,4,2,4,5,3,8,6,2,8,3,4,4,6,4,4,4,5,3,10,9,4,3,6,5,10,13,8,16,9,12,8,9,9,4,3,5,5,4,13,3,7,6,8,5,7,7,3,4,8,5,8,3,3,1,2,9
N20002690,5,2,2,3,7,5,6,3,8,10,4,4,8,4,8,9,8,6,7,2,4,5,8,6,3,2,4,4,3,4,4,6,3,11,5,2,2,5,4,6,7,2,5,2,3,4,3,1,12,4,4,10,4,7,8,4,8,9,7,13,9,8,6,8,3,5,1,1,5,1,4,5,2,4,6,2,2,6,2,1,1,3,0,1,0,8
N20002691,4,9,2,2,7,9,6,1,12,6,9,9,8,5,6,12,5,10,3,9,4,8,6,10,11,10,8,3,4,6,4,4,10,2,9,5,5,4,6,4,7,6,4,4,5,7,6,3,10,9,13,11,14,19,11,14,9,14,10,18,8,11,8,6,11,9,9,4,7,12,5,9,12,15,14,8,5,4,7,4,7,5,4,0,1,11
N20002692,1,4,4,8,3,13,8,5,6,5,6,1,5,3,7,10,10,9,6,5,3,3,6,0,4,1,2,3,3,0,3,3,3,4,0,3,8,1,3,5,4,6,8,4,2,9,6,10,9,9,10,8,7,9,9,7,11,4,7,7,8,11,8,7,4,5,7,4,6,6,11,10,6,7,5,3,4,4,3,5,1,2,6,2,2,10
N20002693,1,2,0,2,0,1,1,3,4,1,1,3,4,2,2,3,3,3,7,5,0,0,3,1,2,3,3,0,1,2,0,0,0,1,2,0,0,1,2,5,1,4,3,2,1,2,5,2,2,4,4,4,6,5,3,7,7,12,6,4,8,8,2,10,12,6,7,5,7,6,11,5,7,5,9,7,4,9,14,7,4,7,8,6,4,13
N20002694,4,7,8,5,5,2,4,4,2,2,5,9,5,7,8,3,3,4,8,4,5,4,9,4,6,1,4,2,4,2,4,2,2,4,6,5,7,3,8,7,7,5,2,5,3,4,9,4,6,8,4,10,7,5,8,2,3,8,12,10,10,9,6,5,5,5,7,3,1,8,6,2,6,8,11,2,3,3,7,3,4,0,2,0,2,8
N20002695,2,3,6,7,3,3,4,1,6,3,8,4,0,1,1,0,4,3,5,3,0,2,2,1,4,6,6,1,2,3,1,3,6,3,2,7,4,8,6,1,5,6,4,5,3,4,2,1,3,5,6,3,5,5,7,6,5,12,13,11,10,16,11,23,8,7,11,6,10,5,6,6,7,12,12,7,5,4,3,8,2,7,4,5,3,17
N20002696,2,5,5,6,5,2,8,2,6,3,4,5,6,4,1,5,3,0,3,2,4,4,6,4,7,3,2,3,8,4,4,5,9,4,2,8,8,5,6,6,8,4,3,5,2,3,1,2,4,3,4,3,6,3,7,7,6,8,5,9,7,7,8,7,7,13,8,6,6,3,5,3,9,6,8,8,1,5,3,1,4,4,1,2,4,12
N20002697,2,5,3,3,2,7,2,7,7,8,3,4,2,3,6,4,6,6,3,3,5,5,7,5,6,4,4,3,1,2,2,1,2,5,5,7,1,3,1,3,7,5,7,5,2,8,3,4,7,7,8,5,9,7,7,10,7,10,6,5,4,12,9,9,5,9,14,11,9,2,8,6,5,8,6,6,7,4,5,5,4,3,1,2,0,7
N20002698,3,7,5,7,9,4,7,8,6,11,6,6,6,6,9,6,13,5,9,7,7,5,3,5,1,5,3,8,6,2,6,3,4,4,8,9,6,5,4,4,9,3,3,3,3,8,10,6,7,9,10,2,7,3,7,1,7,6,6,3,4,6,6,1,6,7,3,5,3,2,5,3,2,1,5,6,4,5,2,6,3,0,0,0,3,10
N20002699,6,4,7,1,3,4,2,1,2,3,3,5,5,4,6,5,1,8,3,8,5,4,5,4,9,7,8,10,8,7,8,10,3,8,9,6,6,5,2,3,5,2,5,4,3,7,4,8,5,1,6,3,8,7,15,5,16,17,15,7,11,11,10,11,11,6,7,6,7,10,7,3,6,5,11,6,1,6,4,10,4,4,3,2,3,8
N20002700,5,3,3,3,5,5,0,8,3,4,3,4,8,9,9,10,2,8,7,2,5,3,4,1,0,5,4,2,3,2,3,2,7,7,5,7,2,8,4,6,2,6,9,5,8,10,9,11,7,15,7,10,10,9,5,5,9,7,11,5,7,5,3,5,7,3,1,2,1,5,4,1,2,4,1,3,1,4,3,0,0,1,0,0,0,8
N20002701,5,2,2,5,4,1,3,5,4,2,3,4,3,6,4,3,5,6,4,5,2,4,3,2,5,2,1,4,3,6,6,3,0,3,3,5,4,2,4,3,8,5,6,6,1,3,5,8,8,5,7,7,5,4,7,10,11,4,7,6,5,2,5,10,5,4,4,5,7,6,4,7,3,2,5,6,3,3,5,0,5,2,4,0,1,7
N20002702,2,4,3,7,4,7,2,6,3,9,4,5,4,4,1,2,3,7,3,3,1,2,2,7,5,5,3,1,9,4,3,2,0,3,3,3,7,2,2,2,2,2,7,4,4,1,2,3,4,4,4,8,5,4,8,7,8,6,7,6,2,2,5,4,2,0,2,3,4,1,3,2,2,0,2,0,2,4,0,1,3,3,3,0,2,11
N20002703,0,1,2,0,1,1,5,2,0,2,2,3,2,1,3,3,2,3,0,3,0,2,5,1,6,0,0,5,3,0,0,4,4,3,4,0,2,5,1,2,3,3,5,2,3,2,5,4,6,4,4,5,5,2,3,6,5,5,3,4,6,3,4,1,3,8,1,0,2,3,4,5,3,3,5,0,0,5,4,3,5,1,1,0,0,12
N20002704,0,1,3,1,1,5,1,4,4,3,5,4,2,2,4,6,3,2,2,3,3,1,7,4,6,3,4,1,2,1,1,0,3,7,5,3,6,5,2,5,8,3,2,3,5,3,1,4,6,8,2,6,6,7,8,8,4,5,2,6,3,2,1,2,2,4,1,2,4,3,1,5,3,2,6,5,4,5,3,2,1,4,2,2,1,14
N20002705,4,5,3,4,3,2,2,6,8,5,7,9,4,4,4,7,13,6,4,3,5,3,6,3,5,4,3,8,6,3,9,7,5,2,6,3,3,3,2,8,6,4,10,12,9,11,10,7,8,7,6,9,8,5,6,6,4,6,5,5,6,3,2,3,1,0,1,2,4,0,6,2,5,3,0,4,3,0,5,0,1,0,0,0,0,5
N20002706,4,4,4,3,2,3,1,3,3,3,3,3,6,4,2,4,3,3,2,7,2,2,5,5,7,3,4,7,5,4,5,6,4,3,5,4,1,1,4,3,6,4,0,4,2,8,6,9,2,6,3,4,4,9,1,5,2,3,9,5,0,3,4,2,4,2,3,3,5,0,2,3,5,0,2,2,2,4,2,2,1,0,1,0,0,2
N20002707,5,5,4,3,1,3,5,2,6,6,7,2,5,8,7,5,5,5,5,6,2,4,4,3,4,4,5,3,6,5,8,2,3,8,4,3,5,3,4,1,5,3,11,5,3,1,6,5,3,5,6,5,8,14,11,8,11,8,3,3,5,6,8,8,8,4,5,3,5,4,4,3,5,3,4,4,2,3,1,2,5,2,1,1,1,8
N20002708,4,4,3,3,1,5,6,8,1,3,3,5,2,1,6,4,6,2,5,4,1,3,2,4,5,0,2,5,2,4,5,1,4,4,9,1,4,5,6,4,0,5,3,1,5,0,5,7,3,6,4,11,6,7,4,8,9,8,2,3,7,5,9,1,2,6,4,2,2,9,6,5,5,4,4,1,2,4,2,6,0,3,1,1,4,11
N20002709,9,5,11,12,7,9,12,14,5,9,13,9,11,11,14,15,12,10,10,7,10,6,10,8,6,5,3,8,9,4,10,8,13,14,4,13,9,9,10,14,19,15,7,7,5,5,10,9,10,6,10,17,11,12,8,7,9,3,7,10,12,6,10,6,12,12,6,7,6,8,5,10,2,8,5,5,4,6,3,4,7,3,5,0,0,9
N20002710,8,9,6,10,8,9,8,8,9,9,12,5,12,7,5,4,6,7,10,3,5,3,8,9,4,6,5,7,5,6,7,8,10,5,5,5,8,7,3,15,12,4,6,2,11,2,5,5,7,2,4,5,8,6,12,10,8,6,6,6,5,13,13,1,5,5,7,4,4,4,5,2,6,0,3,9,9,6,2,5,4,2,2,0,1,9
N20002711,5,3,5,2,4,4,5,5,6,6,1,6,4,1,4,2,2,4,5,4,5,3,6,2,8,1,5,5,4,7,4,5,2,5,3,3,1,4,0,2,4,4,2,2,5,7,2,3,4,9,5,4,6,8,3,6,7,2,6,3,10,8,5,9,7,3,4,3,0,4,4,4,4,6,7,7,2,3,0,2,7,6,6,7,4,11
N20002712,0,1,1,3,3,1,3,3,3,7,2,4,2,2,1,4,2,6,5,2,1,0,2,3,2,1,3,2,8,6,5,5,7,5,4,1,4,2,0,2,4,2,2,2,2,1,1,6,5,2,4,5,9,2,4,3,6,5,4,4,7,5,7,9,3,7,2,1,2,1,1,8,1,6,5,1,9,2,3,3,2,0,5,3,2,12
N20002713,3,3,3,4,2,8,6,3,0,7,3,1,3,6,2,3,3,4,3,3,4,5,6,1,4,4,4,3,0,7,4,3,3,1,6,6,2,5,6,4,5,4,6,6,2,3,2,3,6,6,7,2,6,6,5,8,9,5,8,17,5,6,12,6,9,11,9,8,7,6,9,3,2,2,9,5,9,3,8,0,4,5,8,7,4,24
N20002714,6,5,7,5,7,2,1,4,5,5,4,2,5,5,1,5,2,5,0,1,6,6,3,8,8,7,2,6,8,4,7,7,8,6,8,5,1,5,6,4,7,4,5,2,5,3,7,4,6,6,5,9,11,6,4,6,7,3,7,5,3,6,5,5,5,2,2,5,4,5,4,2,7,10,5,3,2,6,2,3,6,2,2,0,3,11
N20002715,2,3,2,6,3,1,4,2,6,5,7,2,10,1,6,5,7,5,2,4,2,5,5,2,4,1,5,6,2,3,6,7,5,6,3,3,8,3,8,3,4,2,4,4,4,3,6,6,4,8,6,6,5,9,1,8,14,11,5,6,6,9,13,4,11,3,5,4,10,9,13,4,3,9,8,7,6,6,7,11,7,6,8,5,8,39
N20002716,10,18,14,12,9,16,13,21,17,19,18,11,18,20,19,10,11,7,5,7,3,11,8,7,7,13,10,19,12,14,17,12,19,21,18,14,13,11,23,17,13,11,16,15,11,10,9,10,14,7,10,6,8,10,8,8,6,8,4,8,4,4,3,6,3,3,1,3,0,3,1,0,0,2,1,1,1,1,0,0,0,1,0,1,0,0
N20002717,3,2,3,2,2,0,1,2,3,1,3,9,3,1,4,4,0,4,2,2,2,2,2,4,2,2,3,7,5,2,3,7,6,5,2,2,1,5,1,3,5,7,2,5,0,5,5,7,4,3,8,5,4,4,6,2,4,7,8,2,2,7,5,2,2,3,4,5,1,5,7,1,5,2,5,1,2,3,2,1,2,2,2,1,2,9
N20002718,1,4,1,1,0,0,1,7,3,1,5,4,2,4,4,5,6,4,6,5,5,3,8,5,3,6,2,5,2,2,2,6,6,7,4,6,8,4,4,10,4,7,9,4,5,3,7,7,3,8,1,4,7,7,9,11,8,7,9,9,5,4,3,10,6,3,3,8,10,9,6,5,8,6,5,8,5,4,5,3,2,5,4,3,3,18
N20002719,6,7,10,13,3,13,11,10,7,5,7,6,4,3,9,3,9,4,8,3,6,3,4,7,8,8,6,5,4,9,6,1,9,9,5,8,8,3,6,11,5,5,1,2,1,6,4,4,6,3,6,1,6,5,4,6,3,4,2,7,5,1,3,9,3,5,1,6,0,0,4,6,1,8,1,3,0,5,1,1,0,4,1,4,2,10
N20002720,2,6,2,3,6,0,5,7,2,6,0,6,1,0,5,3,3,3,3,4,2,8,2,5,7,7,1,5,5,4,7,3,7,5,5,4,5,3,3,2,2,2,3,3,3,3,5,8,7,4,5,9,9,5,6,8,5,4,8,8,2,6,5,0,3,4,7,4,3,3,5,15,2,5,5,3,6,8,6,0,5,1,4,3,3,35
N20002721,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,1,2,1,5,0,0,1,2,0,4,1,2,1,4,3,1,3,0,2,3,1,1,3,1,2,2,2,1,3,2,2,0,2,6,3,5,1,0,3,5,5,2,4,0,1,4,2,4,2,4,0,4,2,4,4,2,4,3,4,6,1,4,4,5,5,5,4,4,3,5,15
N20002722,2,3,2,2,8,1,4,2,3,2,8,4,7,4,5,5,3,3,3,1,3,0,3,4,3,4,0,3,6,6,1,4,0,7,7,7,1,2,6,2,3,4,7,0,3,6,4,5,1,6,2,4,4,4,5,7,6,5,7,3,6,4,4,10,3,5,4,6,5,6,8,5,9,11,9,10,8,13,10,10,8,3,4,1,1,21
N20002723,4,7,7,8,7,5,9,5,13,4,8,7,5,8,7,7,8,6,5,6,2,5,2,1,9,4,7,7,8,8,4,5,2,4,8,2,1,8,8,8,5,3,6,3,6,4,6,2,3,5,2,9,7,7,5,4,6,4,7,6,4,4,7,3,8,3,2,2,3,5,0,4,2,5,1,1,3,3,0,1,4,4,0,3,4,8
N20002724,4,0,5,3,3,0,1,2,1,2,1,1,1,4,1,4,4,1,5,1,4,2,3,5,3,4,5,4,7,3,4,5,8,10,3,2,3,5,3,2,2,0,3,2,0,5,5,9,4,2,7,6,5,3,6,3,4,3,5,5,9,8,5,10,5,6,3,2,2,5,5,3,1,2,3,2,4,2,0,2,4,1,3,1,2,13
N20002725,1,2,0,0,4,1,3,2,3,1,4,1,0,3,3,0,2,4,2,4,1,6,2,4,1,3,0,4,4,5,2,2,1,3,3,3,2,2,2,2,5,2,3,2,2,4,3,3,4,7,6,0,5,4,1,7,9,3,2,4,1,4,4,3,1,0,5,3,6,5,1,2,4,5,5,6,6,6,1,6,3,2,2,3,0,11
N20002726,3,2,1,4,4,5,3,3,3,1,7,4,4,1,5,5,7,8,5,4,5,5,6,5,5,5,6,4,4,3,2,3,5,3,2,4,2,7,5,0,4,4,1,2,7,4,4,9,3,7,5,5,4,9,6,11,10,10,6,13,9,11,20,12,18,12,12,14,10,7,9,11,12,7,7,2,6,11,7,6,4,6,5,4,10,34
N20002727,8,4,5,1,2,3,7,3,3,2,4,7,3,0,5,3,10,1,11,2,10,4,8,6,7,5,5,2,5,7,2,4,4,5,7,6,5,5,4,1,5,4,5,6,3,8,5,5,6,6,6,10,6,9,6,10,11,3,6,6,4,7,3,8,10,8,6,4,5,7,8,3,2,8,2,2,3,2,3,1,4,3,1,1,2,12
N20002728,4,5,4,4,3,7,1,5,1,9,5,6,4,11,9,4,4,1,3,3,3,4,7,3,6,4,2,3,2,4,3,3,4,5,5,9,8,3,4,5,7,6,6,9,6,4,6,6,9,5,3,5,6,4,9,8,5,8,6,2,5,3,5,3,4,7,1,1,5,4,3,3,6,8,5,3,5,6,7,5,1,6,1,2,1,11
N20002729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,2,3,0,1,1,2,3,2,4,2,3,0,0,1,2,4,2,0,5,2,1,3,5,4,4,3,3,6,2,4,5,3,3,3,6,1,8,3,1,3,4,1,4,1,22
N20002730,1,6,6,2,5,4,7,4,6,2,6,7,6,13,7,10,10,10,7,10,5,7,8,4,7,6,5,2,5,3,4,8,4,3,4,8,8,8,2,6,4,7,6,3,7,6,11,8,7,11,13,10,9,10,21,8,4,13,8,9,2,5,1,1,1,2,0,1,2,3,3,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
