dz_2021_code,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20000470,88,59,14,6,0
N20000471,115,61,24,0,0
N20000472,95,63,47,9,0
N20000473,100,40,20,3,0
N20000474,134,89,40,8,0
N20000475,153,50,18,3,0
N20000476,87,56,21,8,0
N20000477,105,52,26,16,0
N20000478,117,59,30,8,0
N20000479,44,46,50,7,3
N20000480,94,44,12,5,0
N20000481,103,76,48,9,0
N20000482,130,90,34,6,0
N20000483,175,36,19,2,0
N20000484,89,77,33,5,0
N20000485,100,72,37,7,0
N20000486,127,53,23,6,0
N20000487,101,60,26,5,0
N20000488,97,63,20,6,0
N20000489,68,59,27,10,0
N20000490,59,83,97,56,9
N20000491,40,59,60,29,2
N20000492,66,73,46,10,0
N20000493,114,88,33,5,0
N20000494,37,66,87,50,2
N20000495,110,55,22,4,0
N20000496,136,72,36,13,0
N20000497,109,28,6,1,0
N20000498,64,76,73,28,4
N20000499,104,50,19,9,0
N20000500,60,53,44,13,0
N20000501,161,33,9,0,0
N20000502,89,69,25,2,0
N20000503,53,54,66,23,1
N20000504,52,59,33,15,1
N20000505,56,63,62,29,3
N20000506,64,78,65,41,6
N20000507,123,73,69,15,0
N20000508,40,56,39,28,4
N20000509,40,38,37,42,0
N20000510,119,70,31,2,0
N20000511,56,58,66,35,1
N20000512,65,80,56,36,1
N20000513,81,52,18,2,0
N20000514,94,49,28,7,0
N20000515,75,77,76,30,5
N20000516,53,64,76,41,5
N20000517,75,74,52,31,4
N20000518,75,62,33,4,0
N20000519,40,55,43,25,1
N20000520,133,75,30,4,0
N20000521,130,77,35,3,0
N20000522,67,73,43,10,0
N20000523,77,73,40,17,0
N20000524,39,54,88,78,17
N20000525,40,77,84,33,3
N20000526,52,73,34,14,2
N20000527,69,80,49,34,8
N20000528,61,49,50,27,2
N20000529,79,53,47,13,1
N20000530,100,45,14,4,0
N20000531,64,62,28,4,6
N20000532,21,34,66,32,10
N20000533,61,59,44,8,1
N20000534,56,61,40,19,4
N20000535,94,37,32,7,1
N20000536,119,78,60,16,0
N20000537,76,80,55,10,0
N20000538,108,57,34,23,1
N20000539,42,66,63,19,0
N20000540,49,82,42,19,1
N20000541,52,69,63,31,1
N20000542,92,71,39,6,0
N20000543,45,62,50,31,0
N20000544,80,80,56,17,1
N20000545,88,54,28,3,0
N20000546,32,59,38,8,0
N20000547,106,80,39,1,0
N20000548,48,79,65,16,4
N20000549,134,88,30,8,0
N20000550,116,43,10,2,0
N20000551,127,83,37,10,1
N20000552,127,85,31,4,0
N20000553,153,76,44,10,0
N20000554,111,53,16,3,0
N20000555,100,63,39,15,0
N20000556,84,37,25,2,0
N20000557,87,46,28,2,0
N20000558,161,73,31,5,0
N20000559,80,55,24,6,0
N20000560,71,40,20,4,0
N20000561,164,97,29,6,0
N20000562,91,46,12,1,0
N20000563,111,99,34,4,0
N20000564,129,58,25,8,1
N20000565,119,74,34,11,0
N20000566,69,64,55,12,1
N20000567,110,77,63,24,2
N20000568,141,59,10,1,0
N20000569,105,101,47,8,1
N20000570,54,70,81,20,0
N20000571,118,75,62,6,0
N20000572,181,66,24,6,0
N20000573,176,82,32,12,2
N20000574,106,115,90,20,2
N20000575,125,80,38,5,0
N20000576,141,50,16,1,0
N20000577,112,45,14,4,0
N20000578,117,99,37,7,0
N20000579,107,64,29,6,1
N20000580,125,95,40,6,1
N20000581,99,37,20,8,0
N20000582,109,62,39,8,0
N20000583,99,62,31,5,1
N20000584,161,65,37,7,0
N20000585,80,55,22,4,0
N20000586,94,71,33,7,1
N20000587,129,76,46,9,0
N20000588,103,54,33,7,0
N20000589,73,47,33,10,1
N20000590,59,60,26,14,0
N20000591,68,57,24,1,0
N20000592,114,53,36,8,0
N20000593,96,73,29,11,0
N20000594,74,42,12,4,0
N20000595,94,85,38,4,0
N20000596,68,60,50,14,2
N20000597,76,33,10,1,0
N20000598,48,79,77,36,12
N20000599,83,65,31,16,4
N20000600,90,58,37,10,0
N20000601,51,69,57,31,4
N20000602,80,65,32,14,0
N20000603,86,76,45,15,4
N20000604,67,49,15,3,0
N20000605,50,62,23,0,2
N20000606,60,49,42,15,0
N20000607,54,42,38,21,7
N20000608,92,53,19,3,0
N20000609,127,52,21,3,0
N20000610,112,75,34,8,0
N20000611,54,71,64,29,2
N20000612,50,60,80,41,9
N20000613,70,31,30,0,0
N20000614,127,113,49,8,0
N20000615,42,46,48,31,0
N20000616,40,47,56,24,3
N20000617,71,39,30,8,0
N20000618,76,67,54,18,3
N20000619,52,55,37,28,0
N20000620,118,92,74,48,11
N20000621,135,91,44,15,0
N20000622,58,61,60,21,0
N20000623,96,56,21,4,0
N20000624,27,47,64,33,13
N20000625,121,62,35,11,0
N20000626,86,71,30,2,1
N20000627,84,68,52,3,0
N20000628,100,69,32,1,0
N20000629,73,66,28,5,0
N20000630,32,64,75,40,4
N20000631,51,53,49,18,0
N20000632,64,53,52,20,1
N20000633,68,64,30,8,0
N20000634,40,61,53,22,1
N20000635,177,43,18,5,0
N20000636,84,78,37,5,0
N20000637,116,93,35,8,0
N20000638,106,61,25,4,0
N20000639,100,66,37,5,1
N20000640,144,81,37,2,0
N20000641,151,72,25,3,0
N20000642,73,52,21,4,0
N20000643,144,44,7,2,0
N20000644,75,51,28,12,1
N20000645,94,78,47,5,2
N20000646,90,64,58,28,2
N20000647,114,61,25,3,0
N20000648,115,56,29,5,0
N20000649,123,90,44,13,1
N20000650,65,50,22,10,1
N20000651,121,73,49,12,2
N20000652,110,62,24,6,0
N20000653,118,62,37,6,0
N20000654,84,51,31,14,2
N20000655,69,50,21,9,0
N20000656,47,31,30,2,0
N20000657,106,72,35,8,1
N20000658,74,57,34,6,0
N20000659,58,60,36,18,7
N20000660,78,93,73,23,1
N20000661,110,51,33,9,0
N20000662,79,64,35,13,5
N20000663,49,56,69,18,3
N20000664,101,96,46,8,2
N20000665,78,55,30,4,0
N20000666,82,65,26,4,0
N20000667,62,49,27,6,1
N20000668,33,39,26,4,2
N20000669,78,77,51,16,0
N20000670,98,44,27,5,0
N20000671,128,80,49,11,2
N20000672,57,39,23,5,0
N20000673,109,72,36,3,0
N20000674,84,53,24,4,0
N20000675,106,68,46,12,1
N20000676,131,77,45,5,0
N20000677,76,44,16,3,0
N20000678,110,81,43,11,1
N20000679,122,102,39,0,0
N20000680,82,52,29,13,0
N20000681,123,78,28,6,0
N20000682,66,62,65,38,8
N20000683,65,52,43,12,0
N20000684,55,73,40,18,0
N20000685,123,100,42,12,1
N20000686,92,46,35,7,2
N20000687,102,71,31,4,0
N20000688,122,69,34,3,0
N20000689,113,75,50,6,1
N20000690,121,59,21,6,0
N20000691,102,61,34,5,0
N20000692,133,83,53,10,0
N20000693,69,78,40,13,0
N20000694,113,71,46,12,0
N20000695,107,73,39,4,0
N20000696,59,63,51,22,1
N20000697,104,94,50,20,2
N20000698,35,35,32,8,2
N20000699,90,51,25,5,0
N20000700,119,58,35,3,0
N20000701,124,61,47,6,0
N20000702,72,53,29,10,0
N20000703,104,65,35,6,0
N20000704,55,50,56,12,2
N20000705,51,43,37,12,1
N20000706,105,80,49,5,1
N20000707,70,59,45,12,0
N20000708,73,66,39,16,2
N20000709,93,73,41,12,1
N20000710,121,86,64,26,1
N20000711,93,93,51,11,0
N20000712,86,42,22,11,0
N20000713,61,57,56,27,2
N20000714,27,37,27,16,0
N20000715,74,65,68,14,0
N20000716,126,104,64,20,0
N20000717,53,75,65,32,1
N20000718,57,51,49,19,0
N20000719,34,58,58,62,10
N20000720,71,59,31,2,1
N20000721,39,55,30,14,0
N20000722,83,71,35,16,0
N20000723,96,84,67,17,2
N20000724,98,30,22,11,0
N20000725,30,57,45,36,5
N20000726,93,81,53,14,0
N20000727,64,61,43,9,1
N20000728,43,77,70,15,0
N20000729,32,50,51,21,2
N20000730,77,103,90,25,3
N20000731,170,52,18,7,0
N20000732,69,70,55,17,3
N20000733,106,81,36,17,2
N20000734,60,46,21,3,0
N20000735,69,69,41,13,0
N20000736,44,78,75,36,7
N20000737,52,81,60,26,5
N20000738,72,47,45,16,4
N20000739,17,50,57,24,0
N20000740,57,66,38,11,2
N20000741,57,70,45,16,1
N20000742,65,59,31,17,1
N20000743,64,64,40,31,0
N20000744,44,71,67,36,0
N20000745,32,61,62,40,10
N20000746,71,89,85,34,3
N20000747,58,44,48,37,3
N20000748,49,74,90,43,4
N20000749,54,76,63,31,4
N20000750,64,89,57,37,2
N20000751,37,52,53,48,10
N20000752,47,55,51,42,4
N20000753,37,71,56,47,7
N20000754,24,43,45,21,2
N20000755,39,45,71,35,3
N20000756,33,56,55,43,1
N20000757,41,46,40,25,1
N20000758,68,69,77,56,2
N20000759,37,49,45,22,6
N20000760,43,60,68,25,3
N20000761,29,68,75,61,4
N20000762,37,60,54,29,5
N20000763,23,41,44,32,1
N20000764,28,39,44,45,3
N20000765,25,46,50,64,18
N20000766,29,47,45,25,3
N20000767,32,71,111,55,3
N20000768,29,56,81,57,2
N20000769,39,62,49,29,4
N20000770,46,62,67,34,0
N20000771,31,50,53,48,4
N20000772,25,27,33,16,1
N20000773,23,55,49,45,8
N20000774,15,34,37,29,10
N20000775,31,53,70,51,11
N20000776,26,77,100,74,5
N20000777,16,29,31,25,1
N20000778,25,38,45,38,8
N20000779,19,41,69,53,16
N20000780,10,31,44,47,6
N20000781,26,57,66,35,2
N20000782,19,50,70,58,8
N20000783,42,73,81,55,6
N20000784,24,50,48,43,1
N20000785,25,53,83,56,4
N20000786,35,40,49,19,4
N20000787,94,70,35,13,0
N20000788,113,94,61,21,7
N20000789,109,84,32,15,1
N20000790,41,62,74,37,1
N20000791,78,75,46,7,1
N20000792,73,59,55,21,2
N20000793,103,72,41,11,0
N20000794,80,78,67,28,1
N20000795,95,112,92,33,1
N20000796,135,98,27,4,0
N20000797,106,79,50,8,1
N20000798,65,75,88,41,13
N20000799,122,62,12,1,0
N20000800,87,84,57,26,0
N20000801,61,72,68,28,1
N20000802,110,70,17,2,0
N20000803,116,62,31,2,0
N20000804,68,40,23,4,1
N20000805,110,66,36,6,2
N20000806,82,57,38,8,0
N20000807,123,80,24,2,0
N20000808,103,53,10,0,0
N20000809,111,71,26,5,1
N20000810,100,57,13,1,0
N20000811,68,104,63,24,0
N20000812,75,40,12,1,0
N20000813,19,59,55,37,12
N20000814,64,52,40,20,4
N20000815,74,48,19,2,0
N20000816,114,82,33,2,0
N20000817,117,71,41,15,5
N20000818,73,50,43,18,4
N20000819,77,43,25,4,0
N20000820,46,72,63,18,1
N20000821,76,56,35,16,2
N20000822,59,33,13,4,0
N20000823,107,71,35,6,0
